"genesysId","instCode","name","aliasType","lang","version"
"8384",,"Index Seminum 40","ACCENAME",,"0"
"8384","USA126","Ames 17764","OTHERNUMB",,"0"
"8384",,"Index Seminum 40","OTHERNUMB",,"0"
"10508",,"Al 107","ACCENAME",,"0"
"10508",,"Rigon","OTHERNUMB",,"1"
"10508","USA126","Ames 23201","OTHERNUMB",,"0"
"10508",,"Al 107","OTHERNUMB",,"0"
"10508",,"Al 107","COLLNUMB",,"0"
"42497",,"MLA 960805","ACCENAME",,"0"
"42497","USA126","Ames 23831","OTHERNUMB",,"0"
"42497",,"MLA 960805","OTHERNUMB",,"0"
"95936",,"Index Seminum 341","ACCENAME",,"0"
"95936","USA126","Ames 13184","OTHERNUMB",,"0"
"95936",,"Index Seminum 341","OTHERNUMB",,"0"
"144130",,"Index Seminum 3104","ACCENAME",,"0"
"144130","USA126","Ames 20036","OTHERNUMB",,"0"
"144130",,"Index Seminum 3104","OTHERNUMB",,"0"
"152176",,"Index Seminum 335","ACCENAME",,"0"
"152176","USA126","Ames 22109","OTHERNUMB",,"0"
"152176",,"Index Seminum 335","OTHERNUMB",,"0"
"207819",,"Index Seminum 376","ACCENAME",,"0"
"207819","USA126","Ames 21199","OTHERNUMB",,"0"
"207819",,"Index Seminum 376","OTHERNUMB",,"0"
"265652",,"Index Seminum 143","ACCENAME",,"0"
"265652","USA126","Ames 24563","OTHERNUMB",,"0"
"265652",,"Index Seminum 143","OTHERNUMB",,"0"
"292392",,"Index Seminum 264","ACCENAME",,"0"
"292392","USA126","Ames 26921","OTHERNUMB",,"0"
"292392",,"Index Seminum 264","OTHERNUMB",,"0"
"295255",,"Index Seminum 66","ACCENAME",,"0"
"295255","USA126","Ames 21076","OTHERNUMB",,"0"
"295255",,"Index Seminum 66","OTHERNUMB",,"0"
"339342",,"Index Seminum 693","ACCENAME",,"0"
"339342","USA126","Ames 24696","OTHERNUMB",,"0"
"339342",,"Index Seminum 693","OTHERNUMB",,"0"
"408689",,"Index Seminum 144","ACCENAME",,"0"
"408689","USA126","Ames 24564","OTHERNUMB",,"0"
"408689",,"Index Seminum 144","OTHERNUMB",,"0"
"434725",,"Index Seminum 256","ACCENAME",,"0"
"434725","USA126","Ames 24665","OTHERNUMB",,"0"
"434725",,"Index Seminum 256","OTHERNUMB",,"0"
"3002390","BGR001","A3000558","OTHERNUMB",,"0"
"3002390",,"LOCAL","ACCENAME",,"0"
"3125377","DEU001","48314","DONORNUMB",,"0"
"3125377","DEU146","D 10122","OTHERNUMB",,"0"
"3125377","DEU001","48314","OTHERNUMB",,"0"
"3125378","DEU001","33044","DONORNUMB",,"0"
"3125378","DEU146","D 11353","OTHERNUMB",,"0"
"3125378","DEU001","33044","OTHERNUMB",,"0"
"3125380","DEU001","55885","DONORNUMB",,"0"
"3125380","DEU146","D 9619","OTHERNUMB",,"0"
"3125380","DEU001","55885","OTHERNUMB",,"0"
"3306156",,"GS7-0014","COLLNUMB",,"0"
"3306157",,"GS7-0015","COLLNUMB",,"0"
"3306158",,"GS7-0016","COLLNUMB",,"0"
"3306161",,"GS7-0019","COLLNUMB",,"0"
"3419853",,"00021","COLLNUMB",,"0"
"3536499",,"186","COLLNUMB",,"0"
"3536499",,"Oregano","ACCENAME",,"0"
"3537258",,"211","COLLNUMB",,"0"
"3537258",,"Oregano","ACCENAME",,"0"
"3537269",,"Oregano vulgar","ACCENAME",,"0"
"3537269",,"222","COLLNUMB",,"0"
"3802793",,"SCSB-A-000042","COLLNUMB",,"0"
"3813548",,"19922828-95","COLLNUMB",,"0"
"3821724",,"175","COLLNUMB",,"0"
"3823384",,"20200202","COLLNUMB",,"0"
"3824597",,"20200507","COLLNUMB",,"0"
"3842962",,"POL97 041","ACCENAME",,"0"
"3842962",,"POL97 041","COLLNUMB",,"0"
"3844009",,"POL97 039","ACCENAME",,"0"
"3844009",,"POL97 039","COLLNUMB",,"0"
"3844271",,"POL97 038","ACCENAME",,"0"
"3844271",,"POL97 038","COLLNUMB",,"0"
"3903247",,"D 8","ACCENAME",,"0"
"3903247",,"00420","COLLNUMB",,"0"
"3903248",,"D 7","ACCENAME",,"0"
"3903248",,"00419","COLLNUMB",,"0"
"3903249",,"D 6","ACCENAME",,"0"
"3903249",,"00418","COLLNUMB",,"0"
"3903250",,"D4","ACCENAME",,"0"
"3903250",,"004116","COLLNUMB",,"0"
"3903251",,"D 5","ACCENAME",,"0"
"3903251",,"00417","COLLNUMB",,"0"
"3903252",,"D3","ACCENAME",,"0"
"3903252",,"00415","COLLNUMB",,"0"
"3903253",,"D2","ACCENAME",,"0"
"3903253",,"00414","COLLNUMB",,"0"
"3903254",,"D1","ACCENAME",,"0"
"3903254",,"00413","COLLNUMB",,"0"
"3939965",,"MJDOv017","COLLNUMB",,"0"
"3939967",,"MJDOv015","COLLNUMB",,"0"
"3939968",,"MJDOv016","COLLNUMB",,"0"
"3939969",,"MJDOv014","COLLNUMB",,"0"
"3939970",,"MJDOv013","COLLNUMB",,"0"
"3939971",,"MJDOv012","COLLNUMB",,"0"
"3939972",,"MJDOv010","COLLNUMB",,"0"
"3939973",,"MJDOv011","COLLNUMB",,"0"
"3939974",,"MJDOv009","COLLNUMB",,"0"
"3939975",,"MJDOv007","COLLNUMB",,"0"
"3939976",,"MJDOv008","COLLNUMB",,"0"
"3939977",,"MJDOv006","COLLNUMB",,"0"
"3939978",,"MJDOv005","COLLNUMB",,"0"
"3939979",,"MJDOv003","COLLNUMB",,"0"
"3939980",,"MJDOv004","COLLNUMB",,"0"
"3939981",,"MJDOv002","COLLNUMB",,"0"
"3939982",,"MJDOv001","COLLNUMB",,"0"
