"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"43073",,"RG 10","1985----","10",,"1"
"44645",,,"1998----","10","Near Dalhunden.","1"
"45492",,,"1995----","10","Romanian Botanical Garden.","1"
"61326",,"398","1982----","10","Chkumi, southwest of Cageri in a side valley of Cchenischkali (Rayon Cageri), Lechkhum region.","1"
"74999",,"RG 8","1985----","10",,"1"
"124367",,"B96-204","19960710","10","North edge of Trigrad, close to border with Greece.","1"
"124492",,,"2002----","10","Skrabbole, Pargas, Varsinais-Suomi.","1"
"154868",,,,"10",,"0"
"154869",,,,"10",,"0"
"170849",,"RG 4","1984----","10",,"1"
"170850",,"RG 6","19870420","10",,"1"
"234445",,,"19920822","10","Grondines, Portneuf.","1"
"235963",,,,"10","At Kazimierz n/Wisla near Pulawy.","1"
"250286",,"RG 2","19870420","10",,"1"
"251776",,,,"10","At Czumow near Hrubieszow.","1"
"266143",,"RG 9","1985----","10",,"1"
"282130",,,,"10",,"0"
"361415",,,,"10",,"0"
"378672",,,,"10","At Opoka near Krasnik.","1"
"393228",,"RG 5","1985----","10",,"1"
"395673",,,"1995----","10",,"1"
"409197",,"RG 3","1986----","10",,"1"
"425089",,"RG 7","1985----","10",,"1"
"459043",,"2310","1988----","10","Tokhliarui, Rayon Sagaredzo, historical Province Kachetien.","1"
"488793",,,,"10","Okolize (prope) Poznania, Wojewodztwo (distr.) poznanskie","1"
"507012",,,"1995----","10","Romanian Botanical Garden.","1"
"3123929",,,,"99","Glain, Prov. de Liege","1"
"3123934","CSK-74","246","19740811","22","SW-Rand des Orava-Stausees","22"
"3410846",,"00029","19760000","40","Poltavs'ka obl.","11"
"3536286","C395","082_CL02","20020725","24","Castilla y Leon, Palencia, Respenda de la Peña","17"
"3536287","C395","083_CL02","20020714","12","Castilla y Leon, Burgos, Merindad de Sotoscueva, Cornejo","17"
"3543429",,,"20080906","","Klostergården","11"
"3761645",,"05188/98","19980000","10","Zselic","15"
"3800737",,"YALT 092","20040801","10",,"2"
"3804100",,"LEB-437","20050902","10",,"2"
"3813539",,"19891982","19890101","10",,"2"
"3823433",,"20200105","19850911","10",,"3"
"3823448",,"20200101","19850909","10",,"3"
"3835884",,,,"10",,"13"
"3942080",,,"20090922","60","Stigsnes","12"
"3942297",,,"20090831","60","Bunkeflostrand","2"
"3948728",,"TC006","20090818","99","Passage East, Co. Waterford","14"
"3960698",,"61858",,"",,"17"
"4001570",,,"20101001","10","Kapp","13"
"4039377",,,,"99",,"1"
"4457136",,"WUKR06-0294",,"13","Ternopil's'ka oblast', Reserve \"Zelena Dolyna nad Dnjestrom\"","4"
"4457138",,"WUKR06-0512",,"13","Lvivska oblast', Tucholka 3S","4"
"4457142",,"WUKR06-0162",,"62","Ternopil's'ka oblast', Czortkiws'kyj, Zelene 4SW","4"
"4457146",,"WUKR06-0317",,"13","Cherniwec'ka oblast', Chotynskij, Chotyn","4"
"4457148",,"WUKR06-0012",,"24","Lvivska oblast', Bus'kyj, Olesko","4"
"4457150",,"WUKR06-0189",,"60","Ternopil's'ka oblast', Skala Podilska","4"
"4457156",,"WUKR06-0004",,"62","Lvivska oblast', Bus'kyj, Busk  1E","4"
"4624316",,,"20130904","10",,"0"
"4890452",,"NO-02-0028-2009","2009----","10","Brandenburg;  Havelland","20"
"4890484",,"NO-01-0475-2011","2011----","10","Mecklenburg-Vorpommern;  Vorpommern-Rügen","20"
"4890496",,"NO-01-0619-2010","2010----","10","Sachsen-Anhalt;  Burgenlandkreis","20"
"4890503",,"NO-01-0489-2011","2011----","10","Mecklenburg-Vorpommern;  Vorpommern-Rügen","20"
"4890514",,"NO-01-0388-2012","2012----","10","Brandenburg;  Uckermark","18"
"4890522",,"NO-01-0526-2012","2012----","10","Thüringen;  Kyffhäuserkreis","20"
"4890526",,"NO-02-0014-2011","2011----","10","Brandenburg;  Havelland","20"
"4896075",,"NW-02-0314-2012","2012----","10","Nordrhein-Westfalen; Steinfurt","17"
"4896080",,"NW-01-0285-2011","20110711","10","Nordrhein-Westfalen; Siegen-Wittgenstein","17"
"4896082",,"NW-03-0043-2009","20090709","10","Niedersachsen; Osnabrück","17"
"4896089",,"NW-03-0115-2010","20100710","10","Niedersachsen; Osnabrück","17"
"4896092",,"NW-01-0096-2011","20110911","10","Niedersachsen; Lüchow-Dannenberg","17"
"4896095",,"NW-01-0214-2010","20100810","10","Niedersachsen; Osnabrück","17"
"4896096",,"NW-03-0194-2012","20120812","10","Niedersachsen; Osnabrück","17"
"4896104",,"NW-01-0299-2011","20110711","10","Niedersachsen; Hameln-Pyrmont","17"
"4896105",,"NW-01-0235-2011","20110711","10","Niedersachsen; Aurich","17"
"4896108",,"NW-01-0090-2011","20110911","10","Niedersachsen; Lüchow-Dannenberg","17"
"4896109",,"NW-01-0165-2011","20110811","10","Schleswig-Holstein; Ostholstein","17"
"4896111",,"NW-01-0270-2011","20110911","10","Niedersachsen; Lüchow-Dannenberg","17"
"4896112",,"NW-02-0209-2012","20120912","10","Niedersachsen; Wittmund","17"
"4896114",,"NW-02-0347-2012","2012----","10","Nordrhein-Westfalen; Lippe","12"
"4896115",,"NW-01-0177-2011","20110911","10","Nordrhein-Westfalen; Rheinisch-Bergischer Kreis","17"
"4896116",,"NW-03-0169-2012","20120812","10","Niedersachsen; Osnabrück","17"
"4896607",,"NW-04-0120-2013","2013----","10","Nordrhein-Westfalen; Höxter","17"
"4897070",,"SO-08-0370-2011","20110811","10","Thüringen; Saale-Holzland-Kreis","18"
"4897084",,"SO-07-0565-2011","20110911","10","Thüringen; Wartburgkreis","18"
"4897085",,"SO-01-0103-2010","20100810","10","Bayern; Regensburg","17"
"4897088",,"SO-05-0427-2011","20110811","10","Thüringen; Eisenach","17"
"4897092",,"SO-06-0491-2011","20110911","10","Thüringen; Weimarer Land","17"
"4897105",,"SO-06-0483-2011","20110911","10","Thüringen; Wartburgkreis","18"
"4897106",,"SO-01-0789-2012","20120812","10","Bayern; Cham","17"
"4910654",,"SW-05-0167-2011","20110911","10","Baden-Württemberg; Schwäbisch Hall","17"
"4910694",,"SW-03-0287-2011","20110911","10","Rheinland-Pfalz; Worms","18"
"4910712",,"SW-05-0132-2011","20110811","10","Baden-Württemberg; Ostalbkreis","17"
"4910713",,"SW-05-0155-2011","20110911","10","Baden-Württemberg; Stuttgart","17"
"4910714",,"SW-05-0148-2011","20110911","10","Baden-Württemberg; Schwäbisch Hall","17"
"4910716",,"SW-03-0316-2011","20111011","10","Hessen; Hochtaunuskreis","18"
"4911027",,"SW-01-0090-2011","20111011","10","Baden-Württemberg; Ludwigsburg","17"
"4911043",,"SW-01-0139-2012","20120912","10","Baden-Württemberg; Heilbronn","17"
"4911098",,"SW-03-0198-2010","20101110","10","Hessen; Frankfurt am Main","17"
"4911115",,"SW-03-0043-2010","20100810","10","Hessen; Frankfurt am Main","17"
