"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"43073","01657d7f-7baa-4c74-ba48-aa561fa90e89","USA020","PI 652092",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","USA","10","19870420","","true","false","10","100","USA005","","","","2014-07-23 20:03:48"
"44645","6d327c7a-8340-4056-8392-3d1b4030e40b","USA020","PI 652111",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","FRA","10","19980511","","true","false","10","100","USA005","","","","2014-07-23 12:52:03"
"45492","c4df893c-e25e-43b7-a603-86a6807ef23b","USA020","PI 652116",,"Pastinaca","sativa","L.","subsp. sativa","","Pastinaca sativa L. subsp. sativa","ROM","10","19990312","","true","false","10","100","USA005","","","","2014-07-23 21:39:10"
"61326","2f09c276-a3cd-4cb0-ae9a-0b7339b9974f","USA020","PI 652113",,"Pastinaca","sativa","L.","subsp. sativa","","Pastinaca sativa L. subsp. sativa","GEO","10","19990312","","true","false","10","100","USA005","","","","2014-07-23 13:09:53"
"74999","2d8cf9fe-632f-41a7-b1eb-550f450a5731","USA020","PI 652090",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","USA","10","19870420","","true","false","10","100","USA005","","","","2014-07-23 20:04:55"
"124367","d4413fbe-c433-483f-801f-580042159f22","USA020","Ames 23994",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","BGR","10","19971020","","false","false","10","100",,"","","","2014-07-23 10:49:47"
"124492","4572a245-54e9-4b13-9d6c-777f6744e590","USA020","Ames 27349",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","FIN","10","20031230","","false","false","10","100",,"","","","2014-07-23 12:50:17"
"154868","15f9c796-60a5-413c-aadb-5d5d7e1f7ba2","USA020","Ames 8349",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.",,"10","19880418","","false","false","10","100",,"","","","2014-07-23 08:30:23"
"154869","63fff421-aa10-4186-9eef-f6b7fc50c2dd","USA020","Ames 8352",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.",,"10","19880418","","false","false","10","100",,"","","","2014-07-23 08:30:24"
"170849","862c6dba-3bf2-4e5e-a6f9-e54fe12d756d","USA020","Ames 7806",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","USA","10","19870420","","false","false","10","100",,"","","","2014-07-23 20:08:28"
"170850","82597bad-29c9-48e5-bfe3-16b00ce121f7","USA020","Ames 7808",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","USA","10","19870420","","false","false","10","100",,"","","","2014-07-23 20:08:28"
"234445","b1dd0711-3903-4d4b-a165-43958d64e71c","USA020","PI 652094",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","CAN","10","19930510","","true","false","10","100","USA005","","","","2014-07-23 11:06:44"
"235963","7e8c94d8-4d43-4f02-ade7-3a246d775a76","USA020","Ames 23040",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","POL","10","19960612","","false","false","10","100",,"","","","2014-07-23 17:17:32"
"250286","e6e56a6a-023f-4335-a208-5fa39cb8b8a2","USA020","Ames 7805",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","USA","10","19870420","","false","false","10","100",,"","","","2014-07-23 20:11:15"
"251776","050f9486-3323-40b8-ae48-21f3d3904c9a","USA020","Ames 23038",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","POL","10","19960612","","false","false","10","100",,"","","","2014-07-23 17:17:33"
"266143","32d165cf-32e4-4078-a4eb-b6967ac49526","USA020","PI 652091",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","USA","10","19870420","","true","false","10","100","USA005","","","","2014-07-23 20:11:48"
"282130","bb0fadd3-a753-4c50-bb33-a37f8b45d92b","USA020","Ames 8350",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.",,"10","19880418","","false","false","10","100",,"","","","2014-07-23 08:38:55"
"361415","c134564a-db9f-43eb-a32b-003d5f008f55","USA020","Ames 8351",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.",,"10","19880418","","false","false","10","100",,"","","","2014-07-23 08:44:23"
"378672","f1bdc8bf-2b0e-4d6a-8a70-b5f850cbe3ff","USA020","Ames 23039",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","POL","10","19960612","","false","false","10","100",,"","","","2014-07-23 17:17:40"
"393228","f89206cb-000a-4ecd-bd61-44a7c571016c","USA020","PI 652088",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","USA","10","19870420","","true","false","10","100","USA005","","","","2014-07-23 20:16:14"
"395673","2ae4a2a3-8a15-421c-bd69-3d078dbe37c3","USA020","PI 652112",,"Pastinaca","sativa","L.","subsp. sativa","","Pastinaca sativa L. subsp. sativa","POL","10","19990312","","true","false","10","100","USA005","","","","2014-07-23 17:17:40"
"409197","80dc7f7f-734e-45d8-a14e-3b12b7101660","USA020","PI 652087",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","USA","10","19870420","","true","false","10","100","USA005","","","","2014-07-23 20:16:47"
"425089","d4348fb7-893c-4532-9b7f-21d4033e7f84","USA020","PI 652089",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","USA","10","19870420","","true","false","10","100","USA005","","","","2014-07-23 20:17:20"
"459043","bcee04d0-58c0-430c-bdd5-b64d4090e751","USA020","PI 652114",,"Pastinaca","sativa","L.","subsp. sativa","","Pastinaca sativa L. subsp. sativa","GEO","10","19990312","","true","false","10","100","USA005","","","","2014-07-23 13:10:13"
"488793","76796925-54c1-423d-9a61-6763160411c1","USA020","Ames 17765",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.","POL","10","19910816","","false","false","10","100",,"","","","2014-07-23 17:17:45"
"507012","d0766acb-2b40-4d50-b29b-1274fe162dbe","USA020","Ames 25205",,"Pastinaca","sativa","L.","subsp. sativa","","Pastinaca sativa L. subsp. sativa","ROM","10","19990312","","false","false","10","100",,"","","","2014-07-23 21:39:30"
"3002373","d0cb5580-b171-487e-a8af-8329a6b75955","BGR005","2003-PAS-SA-1",,"Pastinaca","sativa","L.","","","Pastinaca sativa L.",,,,"","","false",,"100",,"","","1285","2020-05-11 06:20:52"
