"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"44645","48.76666667","7.98333333","",,"",,"3"
"61326","42.61638889","42.66305556","",,"",,"3"
"124367","41.5925","24.37944444","1189.0",,"",,"3"
"124492","60.28333333","22.28333333","",,"",,"3"
"459043","41.71944444","45.41888889","",,"",,"3"
"3123934","49.388056","19.5275","",,"1500.0",,"5"
"3536286","42.765278","-4.685278","1010.0",,"",,"6"
"3536287","43.029444","-3.625556","651.0",,"",,"6"
"3543429","55.688056","13.173889","20.0",,"",,"6"
"3804100","","","1398.0",,"",,"0"
"3823433","","","80.0",,"",,"0"
"3823448","","","195.0",,"",,"0"
"3942080","55.213056","11.243889","",,"",,"6"
"3942297","55.556944","12.913611","",,"",,"6"
"3948728","52.2381","-6.96972","4.0",,"",,"6"
"4001570","60.698333","10.822778","",,"",,"6"
"4457136","48.671111","25.646944","155.0",,"",,"3"
"4457138","48.855","23.3075","728.0",,"",,"2"
"4457142","48.969167","26.170833","284.0",,"",,"3"
"4457146","48.521111","26.498889","150.0",,"",,"3"
"4457148","49.970278","24.899444","229.0",,"",,"3"
"4457150","48.845556","26.199722","261.0",,"",,"3"
"4457156","49.962222","24.569444","219.0",,"",,"3"
"4624316","","","9.0",,"",,"0"
"5614742","","","120.0",,"",,"0"
"5614743","","","116.0",,"",,"0"
"5649884","50.464722","20.589167","236.0",,"",,"3"
"6272423","","","678.0",,"",,"0"
"6404600","52.639167","18.3825","79.0",,"",,"0"
"6404627","52.270556","15.717778","68.0",,"",,"0"
"6404671","52.270556","15.717778","68.0",,"",,"0"
"6406046","50.510278","20.682222","224.0",,"",,"0"
"6406967","52.270556","15.717778","68.0",,"",,"0"
"6549081","46.327778","16.585","151.0",,"",,"0"
