"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"7289",,,"1997----","10","Opoka Duza.","1"
"198722",,,"1997----","10","Near Ujszentmargita.  National Park at the northeast part of the Great Hungarian Plain, Hortobagy.","1"
"2978036",,,,"20","s. Gabrene, Blagoevgrad","15"
"3409777",,"00115","19670000","40","Poltavs'ka obl.","11"
"3536972","C395","094_CL03","20030724","61","Castilla y Leon, Avila, Navaluenga","17"
"3797024",,"JSh-13","20060715","10",,"2"
"3824626",,"20200905","19810805","10",,"3"
"3826905",,"96/4","19740601","10",,"2"
"3837227",,"WUKR06-1040",,"23","Odes'ka oblast', Reniysky rajon, Kotlovyna, Bolhrad 20S","4"
"3837228",,"WUKR06-1071",,"23","Odes'ka oblast', Bolhrads'kyj rajon, Vinohradivka, Bolhrad 4W","4"
"3837231",,"WUKR06-0209",,"23","Ternopil's'ka oblast', Bererzanka","4"
"3843990",,"POL97 416",,"13","Małopolskie, Zakopane Gubałówka, Choćkowskie, ,","4"
"3844095",,"POL97 423",,"13","Małopolskie, Zakopane Gubałówka, Choćkowskie, ,","4"
"3914890",,"82","19970806","","Otsun:CMT","0"
"3941548",,,"19990918","12","Kolan","1"
"3941662",,,"19981109","13","Kraljevec na Sutli","1"
"3946790",,"DS7268","20090825","13","Cluj, Fanatele Clujului","9"
"3973552",,"POLNOT07 366",,"61","Wapniarnia Pierwsza, Wielkopolskie","4"
"3973712",,"POLNOT07 285",,"61","Ludwikowo, Wielkopolskie","3"
"4092196",,"5","20111005","10","Trzic","2"
"4092200",,"4","20090824","10","Klinca Sela","2"
"4283359",,,"20010818","","Petrozavodsk road","0"
"4283377",,,"20010801","",,"12"
"4283393",,,"20010818","",,"0"
"4283453",,,"20010818","","Sloboda","0"
"4539648",,"SM71","20120706","10",,"1"
"4540628",,"PE 1","20120621","10",,"1"
"4548965",,"RSK14 H1-5","20140619","10",,"1"
"4876662",,"SEYYARE-47","19690814","10",,"16"
"4882874",,"NB-16","20080927","",,"0"
"4882882",,"NB10-09","20090610","10","NakhchivanMRGilanchaybasin,aroundSaggarsu","1"
"4882883",,,"20060729","11","Chalud,Eriklikfield","1"
"4882903",,"IAF-44","2007----","","Tovuz,Amirliarkhsurrounding","22"
"4882913",,"IAF-79","2007----","","Tovuz,vill.Amirallakh","21"
"4883281",,"azeRua-12","2004----","10","Nakhchivan,Babek","21"
"4883284",,"NH-21","20080820","10","Guba","0"
"4883312",,"NH-2","20100920","10","Nakhchivan,Sharur.HavushDarabichenek","1"
"4890554",,"NO-01-0563-2010","2010----","10","Brandenburg;  Oberhavel","20"
"4890569",,"NO-01-0490-2010","2010----","10","Brandenburg;  Dahme-Spreewald","20"
"4890613",,"NO-01-0476-2010","2010----","10","Mecklenburg-Vorpommern;  Vorpommern-Greifswald","20"
"4890941",,"NO-01-0082-2011","2011----","10","Mecklenburg-Vorpommern;  Vorpommern-Rügen","20"
"4890964",,"NO-01-0371-2011","2011----","10","Sachsen-Anhalt;  Anhalt-Bitterfeld","20"
