"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"7289","5274d814-17e4-467b-a4b6-f4e803383285","USA020","Ames 24703",,"Rumex","acetosa","L.","","","Rumex acetosa L.","POL","10","19980701","","false","false","10","100",,"","","","2014-07-23 17:17:20"
"198722","834b3f93-655b-4e31-8115-fbca05f2661f","USA020","Ames 24666",,"Rumex","acetosa","L.","","","Rumex acetosa L.","HUN","10","19980602","","false","false","10","100",,"","","","2014-07-23 13:25:46"
"2978036","d57ee4b9-c99b-446a-97de-1e68a1a2e117","BGR001","1983-RUM-AC-1",,"Rumex","acetosa","L.","","","Rumex acetosa L.","BGR","20",,"","","false",,"100",,"","","1285","2020-05-11 06:19:54"
"3409777","b0421d62-9c67-47a8-bce5-95930d5289e7","UKR019","UL2000004",,"Rumex","acetosa","L.","","","Rumex acetosa L.","UKR","40","19990000","","","false","12","100",,"","","1285","2020-05-11 12:02:32"
"3536972","cdf7ec48-f9cd-4cf4-8399-e3c53071cfb4","ESP109","NC079761",,"Rumex","acetosa","L.","","","Rumex acetosa L.","ESP","61","20040225","false","","false","13","100","ESP004","","","1285","2020-05-11 07:20:42"
"3797024","52e3edff-8a4f-4dc7-8bf7-a99001a77247","GBR004","364726",,"Rumex","acetosa","L.","","","Rumex acetosa L.","CHN",,"20070102","false","false","false","10","110",,"","","4","2020-04-09 09:30:43"
"3824626","1bbdcfc9-6a20-41be-921d-eda65d986c86","GBR004","17228",,"Rumex","acetosa","L.","","","Rumex acetosa L.","GBR",,"19810805","false","false","false","10","110",,"","","4","2020-04-09 09:28:04"
"3826905","e3c7c420-14ac-4317-bab1-d3faf0e11e6e","GBR004","32111",,"Rumex","acetosa","L.","","","Rumex acetosa L.","GRC",,"19741001","false","false","false","10;40","110",,"","","4","2020-04-09 09:28:13"
"3837227","42c3b3dc-121e-4b26-85f7-7b35debd3122","POL003","178316",,"Rumex","acetosa","L.","","","Rumex acetosa L.","UKR",,"20070313","false","","false","13","120",,"","","1285","2020-05-11 10:22:38"
"3837228","0302569c-8797-4271-9307-1b29f3624986","POL003","178317",,"Rumex","acetosa","L.","","","Rumex acetosa L.","UKR",,"20070313","false","","false","13","120",,"","","1285","2020-05-11 10:27:51"
"3837231","bda03624-6c4a-459b-9463-2f77f4798fca","POL003","178311",,"Rumex","acetosa","L.","","","Rumex acetosa L.","UKR",,"20070313","false","","false","13","120",,"","","1285","2020-05-11 10:27:51"
"3843990","981f0f1f-a137-4bf0-bcfd-6aae32bf34e2","POL003","139557",,"Festuca","pratensis","HUDS.","","","Festuca pratensis HUDS.","POL",,"20040218","true","","false","13","100",,"","","1285","2020-05-11 10:27:03"
"3844095","9391382e-d925-4be9-82d5-84c1429481f6","POL003","237965",,"Cynosurus","cristatus","L.","","","Cynosurus cristatus L.","POL",,"20040218","false","","false","13","100",,"","","1285","2020-05-11 10:28:17"
"3914890","97bcfb2b-fa70-4a3d-bf59-8ea265c8cd59","ARM035","30A01/SYR002:IG126327",,"Rumex","acetosa","L.","","","Rumex acetosa L.","ARM",,,"true","","false","10","100",,"","","1285","2020-05-11 06:06:29"
"3941548","cc90af4a-3373-4b1c-af27-6b23ad9eadbf","HRV041","MAP00456",,"Rumex","acetosa","L.","","","Rumex acetosa L.","HRV","12",,"","","false","12","100",,"","","1285","2020-05-11 09:49:45"
"3941662","12f97144-d417-4673-92f9-fcd97a0c2e02","HRV041","MAP00261",,"Rumex","acetosa","L.","","","Rumex acetosa L.","HRV","13",,"","","false","12","100",,"","","1285","2020-05-11 09:49:33"
"3946790","96291680-8686-4bae-b5db-939ea7bb777b","ROM007","ROM007:18176",,"Rumex","acetosa","L.","","","Rumex acetosa L.","ROU","13","2009----","false","","false","12","100",,"","","1285","2020-05-11 10:44:52"
"3973552","e59679b8-d5e9-4d80-b8d5-97ca046266ec","POL003","500900",,"Hypericum","perforatum","L.","","","Hypericum perforatum L.","POL","61","2009----","false","","false","13","100",,"","","1285","2020-05-11 10:24:46"
"3973712","1d37e093-2d78-4237-8339-7dc36933d060","POL003","500898",,"Conium","maculatum","L.","","","Conium maculatum L.","POL","61","2009----","false","","false","13","100",,"","","1285","2020-05-11 10:21:26"
"4092196","a9e9c60c-00cb-4499-847f-8d2b6ddba8f0","HRV041","MAP02420",,"Rumex","acetosa","L.","","","Rumex acetosa L.","HRV",,,"","","false","12","100",,"2","2014-01-09 22:00:40","1285","2020-05-11 09:49:22"
"4092200","5c090899-5f54-41ed-b7fe-4acdfa2c5025","HRV041","MAP02419",,"Rumex","acetosa","L.","","","Rumex acetosa L.","HRV",,,"","","false","12","100",,"2","2014-01-09 22:00:40","1285","2020-05-11 09:49:32"
"4283359","ec2803c3-54b7-4e0e-a536-0478f7885e16","SWE054","NGB24261",,"Rumex","acetosa","","","","Rumex acetosa","RUS",,"20120823","false","","false","13","100","NOR051","2","2014-01-09 23:31:32","1285","2020-05-11 11:47:48"
"4283377","dd6f7f4b-82ab-45d4-ba2c-6c60f3b375c9","SWE054","NGB24263",,"Rumex","acetosa","","","","Rumex acetosa","RUS",,"20120823","false","","false","13","100","NOR051","2","2014-01-09 23:31:32","1285","2020-05-11 11:47:22"
"4283393","560bd9a6-6140-483a-8628-252ac8444728","SWE054","NGB24262",,"Rumex","acetosa","","","","Rumex acetosa","RUS",,"20120823","false","","false","13","100","NOR051","2","2014-01-09 23:31:32","1285","2020-05-11 11:47:20"
"4283453","c3fe33e7-1c75-426c-9802-6210e8b15eaa","SWE054","NGB24260",,"Rumex","acetosa","","","","Rumex acetosa","RUS",,"20120823","false","","false","13","100","NOR051","2","2014-01-09 23:31:33","1285","2020-05-11 11:44:22"
"4539648","c584144b-6482-43cf-80b8-053052ece215","GBR004","667003",,"Rumex","acetosa","L.","subsp. acetosa","","Rumex acetosa L. subsp. acetosa","GBR",,"20120709","false","false","false","10","110",,"4","2015-09-25 14:01:23","4","2020-04-09 09:32:56"
"4540628","e15c53e3-9ee3-40e7-897f-63442b19aaa7","GBR004","682778",,"Rumex","acetosa","L.","","","Rumex acetosa L.","SVK",,"20121210","false","false","false","10","110",,"4","2015-09-25 14:11:34","4","2020-04-09 09:33:06"
"4548965","9c5b0caa-40ce-44bd-89d6-69abd2b6c1bc","GBR004","793300",,"Rumex","acetosa","L.","","","Rumex acetosa L.","GBR",,"20140619","false","false","false","10","110",,"4","2015-09-25 15:17:16","4","2020-04-09 09:33:37"
"4876662","99f586ac-4a44-445a-a66d-dba94915f590","AZE004","AzGR-4544",,"Rumex","acetosa","L.","","","Rumex acetosa L.","AZE",,"19690814","","","false",,"100",,"4","2016-10-27 18:37:04","1285","2020-05-11 06:08:45"
"4882874","6b4f6b04-a29c-4a95-ac23-f1256cc0c3a9","AZE015","AzGR-9315","10.18730/V81AC","Rumex","acetosa","L.","","","Rumex acetosa L.","AZE",,"200904--","","","false","12","100",,"4","2016-10-27 18:38:22","1285","2020-05-11 06:10:04"
