"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"7289","50.86666667","21.86666667","",,"",,"3"
"198722","47.73333333","21.1","",,"",,"3"
"2978036","","","600.0",,"",,"0"
"3536972","40.413889","-4.706667","764.0",,"",,"6"
"3797024","","","208.0",,"",,"0"
"3824626","","","200.0",,"",,"0"
"3826905","","","100.0",,"",,"0"
"3837227","45.508611","28.569722","44.0",,"",,"3"
"3837228","45.681111","28.574722","10.0",,"",,"3"
"3837231","48.816389","26.235","238.0",,"",,"3"
"3843990","49.3025","19.929167","1001.0",,"",,"3"
"3844095","49.3025","19.929167","1001.0",,"",,"3"
"3941548","44.494167","14.961389","103.0",,"",,"6"
"3941662","45.989722","15.724167","200.0",,"",,"6"
"3946790","46.843056","23.628889","613.0",,"",,"4"
"3973552","53.056389","16.514444","82.0",,"",,"3"
"3973712","53.096389","17.428333","51.0",,"",,"3"
"4092196","45.7","15.7","199.0",,"",,"3"
"4092200","45.683333","15.733333","143.0",,"",,"5"
"4283359","61.816667","34.066667","",,"",,"4"
"4283377","62.316667","34.033333","",,"",,"4"
"4283393","61.883333","34.566667","",,"",,"4"
"4283453","60.783333","33.333333","",,"",,"4"
"4539648","","","286.0",,"",,"0"
"4540628","","","445.0",,"",,"0"
"4548965","","","25.0",,"",,"0"
"4882882","","","2200.0",,"",,"0"
"4883284","41.333333","48.0","",,"",,"2"
"4883312","","","1840.0",,"",,"0"
"4917686","","","1025.0",,"",,"0"
"4917712","41.082222","-1.198333","1097.0",,"",,"2"
"5649879","50.678611","21.915278","141.0",,"",,"3"
"5653930","50.596667","21.673889","143.0",,"",,"3"
"5654172","50.678611","21.915278","141.0",,"",,"3"
"5654372","50.596667","21.673889","143.0",,"",,"3"
"5676608","40.133333","46.133333","1724.0",,"",,"2"
"6017348","","","20.0",,"",,"0"
"6285039","52.517778","16.385833","96.0",,"",,"1"
"6285103","52.5625","17.404722","116.0",,"",,"1"
"6285234","52.326389","15.310556","108.0",,"",,"1"
"6396930","49.469722","19.775","643.0",,"",,"0"
"6397325","52.517778","16.385833","96.0",,"",,"0"
"6397635","52.356944","15.2775","151.0",,"",,"0"
"6404022","49.469722","19.775","643.0",,"",,"0"
"6404158","52.490556","15.745278","58.0",,"",,"0"
"6404404","53.529444","19.948611","265.0",,"",,"0"
"6404426","52.517778","16.385833","96.0",,"",,"0"
"6404447","49.564167","20.308889","780.0",,"",,"0"
"6404451","53.085","16.053889","59.0",,"",,"0"
"6404491","53.231944","19.670556","75.0",,"",,"0"
"6404582","51.855833","15.350278","78.0",,"",,"0"
"6404591","54.154167","23.303333","142.0",,"",,"0"
"6404609","51.252778","15.431389","204.0",,"",,"0"
"6404615","49.469722","19.775","643.0",,"",,"0"
"6404622","52.223611","15.780556","61.0",,"",,"0"
"6404627","52.270556","15.717778","68.0",,"",,"0"
"6404640","52.726111","18.149167","72.0",,"",,"0"
"6404643","51.545833","15.893056","137.0",,"",,"0"
"6404646","52.326389","15.310556","108.0",,"",,"0"
"6404660","52.880278","17.879444","75.0",,"",,"0"
"6404662","52.999167","17.936111","63.0",,"",,"0"
"6404668","52.223611","15.780556","61.0",,"",,"0"
"6404669","52.5625","17.404722","116.0",,"",,"0"
"6404671","52.270556","15.717778","68.0",,"",,"0"
"6404713","53.420833","19.324167","92.0",,"",,"0"
"6404718","53.008611","18.759722","88.0",,"",,"0"
