"genesysId","instCode","name","aliasType","lang","version"
"7289",,"Index Seminum 2403","ACCENAME",,"0"
"7289","USA126","Ames 24703","OTHERNUMB",,"0"
"7289",,"Index Seminum 2403","OTHERNUMB",,"0"
"198722",,"Index Seminum 299","ACCENAME",,"0"
"198722","USA126","Ames 24666","OTHERNUMB",,"0"
"198722",,"Index Seminum 299","OTHERNUMB",,"0"
"2978036","BGR001","83E2108","OTHERNUMB",,"0"
"2978036",,"LOCAL","ACCENAME",,"0"
"3409777",,"00115","COLLNUMB",,"0"
"3536972",,"Acedera","ACCENAME",,"0"
"3536972",,"094_CL03","COLLNUMB",,"0"
"3797024",,"JSh-13","COLLNUMB",,"0"
"3824626",,"20200905","COLLNUMB",,"0"
"3826905",,"96/4","COLLNUMB",,"0"
"3837227",,"WUKR06-1040","ACCENAME",,"0"
"3837227",,"WUKR06-1040","COLLNUMB",,"0"
"3837228",,"WUKR06-1071","ACCENAME",,"0"
"3837228",,"WUKR06-1071","COLLNUMB",,"0"
"3837231",,"WUKR06-0209","ACCENAME",,"0"
"3837231",,"WUKR06-0209","COLLNUMB",,"0"
"3843990",,"POL97 416","ACCENAME",,"0"
"3843990",,"POL97 416","COLLNUMB",,"0"
"3844095",,"POL97 423","ACCENAME",,"0"
"3844095",,"POL97 423","COLLNUMB",,"0"
"3914890",,"82","COLLNUMB",,"0"
"3946790",,"FANETELE CLUJULUI","ACCENAME",,"0"
"3946790",,"DS7268","COLLNUMB",,"0"
"3973552",,"POLNOT07 366","ACCENAME",,"0"
"3973552",,"POLNOT07 366","COLLNUMB",,"0"
"3973712",,"POLNOT07 285","ACCENAME",,"0"
"3973712",,"POLNOT07 285","COLLNUMB",,"0"
"4092196",,"5","COLLNUMB",,"0"
"4092200",,"4","COLLNUMB",,"0"
"4283359",,"Petrozavodsk 67","ACCENAME",,"0"
"4283377",,"Kondopoga 83","ACCENAME",,"0"
"4283393",,"Onezskoe 70","ACCENAME",,"0"
"4283453",,"SLOBODA 09","ACCENAME",,"0"
"4539648",,"SM71","COLLNUMB",,"0"
"4540628",,"PE 1","COLLNUMB",,"0"
"4548965",,"RSK14 H1-5","COLLNUMB",,"0"
"4876662",,"Adi evelik","ACCENAME",,"0"
"4876662","AZE004","DERMAN-47","OTHERNUMB",,"0"
"4876662","AZE015","SEYYARE-47","OTHERNUMB",,"0"
"4876662",,"SEYYARE-47","COLLNUMB",,"0"
"4882874","AZE015","AG-992","OTHERNUMB",,"0"
"4882874","AZE015","NB-16","OTHERNUMB",,"0"
"4882874",,"NB-16","COLLNUMB",,"0"
"4882882",,"Adievelik","ACCENAME",,"0"
"4882882","AZE015","AG-1721","OTHERNUMB",,"0"
"4882882","AZE015","NB10-09","OTHERNUMB",,"0"
"4882882",,"NB10-09","COLLNUMB",,"0"
"4882883","AZE015","AFGO-36","OTHERNUMB",,"0"
"4882903","AZE015","AG-1458","OTHERNUMB",,"0"
"4882903","AZE015","IAF-44","OTHERNUMB",,"0"
"4882903",,"IAF-44","COLLNUMB",,"0"
"4882913","AZE015","AG-1492","OTHERNUMB",,"0"
"4882913","AZE015","IAF-79","OTHERNUMB",,"0"
"4882913",,"IAF-79","COLLNUMB",,"0"
"4883281",,"Aditursheng","ACCENAME",,"0"
"4883281","AZE015","HSR-118","OTHERNUMB",,"0"
"4883281","AZE015","azeRua-12","OTHERNUMB",,"0"
"4883281",,"azeRua-12","COLLNUMB",,"0"
"4883284","AZE015","AG-1884","OTHERNUMB",,"0"
"4883284","AZE015","NH-21","OTHERNUMB",,"0"
"4883284",,"NH-21","COLLNUMB",,"0"
"4883284",,"Adievelik","ACCENAME",,"0"
"4883312","AZE015","AG-1867","OTHERNUMB",,"0"
"4883312","AZE015","NH-2","OTHERNUMB",,"0"
"4883312",,"NH-2","COLLNUMB",,"0"
"4883312",,"Adievelik","ACCENAME",,"0"
"4890554",,"NO-01-0563-2010","COLLNUMB",,"0"
"4890569",,"NO-01-0490-2010","COLLNUMB",,"0"
"4890613",,"NO-01-0476-2010","COLLNUMB",,"0"
"4890941",,"NO-01-0082-2011","COLLNUMB",,"0"
"4890964",,"NO-01-0371-2011","COLLNUMB",,"0"
"4890967",,"NO-01-0324-2010","COLLNUMB",,"0"
"4896269",,"NW-02-0283-2012","COLLNUMB",,"0"
"4896271",,"NW-01-0186-2011","COLLNUMB",,"0"
"4896272",,"NW-04-0001-2012","COLLNUMB",,"0"
"4896275",,"NW-02-0287-2012","COLLNUMB",,"0"
"4896277",,"NW-01-0191-2010","COLLNUMB",,"0"
"4896278",,"NW-02-0294-2012","COLLNUMB",,"0"
"4896280",,"NW-01-0241-2011","COLLNUMB",,"0"
"4896283",,"NW-02-0285-2012","COLLNUMB",,"0"
"4896286",,"NW-01-0003-2011","COLLNUMB",,"0"
"4896288",,"NW-01-0108-2011","COLLNUMB",,"0"
"4896290",,"NW-01-0307-2010","COLLNUMB",,"0"
"4896293",,"NW-01-0181-2011","COLLNUMB",,"0"
"4896295",,"NW-01-0228-2011","COLLNUMB",,"0"
"4896297",,"NW-01-0183-2011","COLLNUMB",,"0"
"4896298",,"NW-01-0305-2010","COLLNUMB",,"0"
"4896301",,"NW-01-0306-2010","COLLNUMB",,"0"
"4896304",,"NW-02-0295-2012","COLLNUMB",,"0"
"4896306",,"NW-01-0190-2011","COLLNUMB",,"0"
"4896309",,"NW-01-0279-2011","COLLNUMB",,"0"
"4896311",,"NW-02-0286-2012","COLLNUMB",,"0"
"4896313",,"NW-01-0145-2010","COLLNUMB",,"0"
"4896314",,"NW-02-0284-2012","COLLNUMB",,"0"
"4896317",,"NW-01-0194-2010","COLLNUMB",,"0"
"4897192",,"SO-01-0637-2012","COLLNUMB",,"0"
"4897195",,"SO-02-0231-2011","COLLNUMB",,"0"
"4897208",,"SO-06-0392-2011","COLLNUMB",,"0"
"4897211",,"SO-01-0640-2012","COLLNUMB",,"0"
"4897212",,"SO-05-0220-2011","COLLNUMB",,"0"
"4910722",,"SW-05-0388-2013","COLLNUMB",,"0"
"4910723",,"SW-05-0393-2013","COLLNUMB",,"0"
"4910730",,"SW-05-0382-2013","COLLNUMB",,"0"
"4910745",,"SW-06-0004-2011","COLLNUMB",,"0"
"4910756",,"SW-05-0383-2013","COLLNUMB",,"0"
"4910757",,"SW-05-0379-2013","COLLNUMB",,"0"
"4910759",,"SW-05-0410-2013","COLLNUMB",,"0"
"4910761",,"SW-03-0232-2011","COLLNUMB",,"0"
"4910766",,"SW-05-0365-2013","COLLNUMB",,"0"
"4910775",,"SW-03-0503-2013","COLLNUMB",,"0"
"4910787",,"SW-06-0124-2013","COLLNUMB",,"0"
"4910789",,"SW-06-0129-2013","COLLNUMB",,"0"
"4911290",,"SW-06-0135-2013","COLLNUMB",,"0"
"4917686",,"Acedera","ACCENAME",,"0"
"4917686",,"Z-99-009","COLLNUMB",,"0"
"4917712",,"Acedera","ACCENAME",,"0"
"4917712",,"4371","COLLNUMB",,"0"
"5649879",,"POLKIE011 080","ACCENAME",,"0"
"5649879",,"POLKIE011 080","COLLNUMB",,"0"
"5653930",,"POLKIE011 114","ACCENAME",,"0"
"5653930",,"POLKIE011 114","COLLNUMB",,"0"
"5654172",,"POLKIE011 085","ACCENAME",,"0"
"5654172",,"POLKIE011 085","COLLNUMB",,"0"
"5654372",,"POLKIE011 115","ACCENAME",,"0"
"5654372",,"POLKIE011 115","COLLNUMB",,"0"
"5676608","AZE014","177-Ru","OTHERNUMB",,"0"
"5676608","AZE015","SHA77","OTHERNUMB",,"0"
"5676608",,"SHA77","COLLNUMB",,"0"
"5676608",,"Turshang","ACCENAME",,"0"
"5676608",,"Guzugulaghi","ACCENAME",,"0"
