"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"3107691",,,,"99",,"1"
"3107693",,,,"99",,"0"
"3107694",,,,"99",,"1"
"3107696",,,,"99",,"1"
"3793594",,,"20070802","10",,"2"
"3817074",,,,"10",,"2"
"3823403",,"46","19850905","10",,"2"
"3823408",,"20200102","19851002","10",,"4"
"3942026",,,"20090921","60","HOLSTEINBORG","12"
"3942070",,,"20090922","60","Fyrendal, Skjælskør","12"
"4001213",,,"20071023","60","Agri (Mols Bjerge)","12"
"4092107",,"22","20050814","","Tomislavgrad","1"
"4537172",,"25420","20100623","10",,"1"
"4539352",,"1382","20111116","10",,"1"
"4540631",,"JKMS 240","20120705","10",,"1"
"4541235",,"3625","20120524","10",,"1"
"4547825",,"ArmBI13:158","20130821","10",,"1"
"4876628",,"SEYYARE-50","19790808","10",,"16"
"4883302",,"MFG14","20040610","40","IntheeastoftheShamkir,Chinarlisettlement","17"
"4890589",,"NO-01-0537-2012","2012----","10","Brandenburg;  Potsdam-Mittelmark","13"
"4897184",,"SO-05-0296-2011","20110711","10","Thüringen; Eisenach","12"
"4897189",,"SO-07-0566-2011","20110911","10","Thüringen; Wartburgkreis","12"
"4910719",,"SW-03-0013-2010","20100710","10","Baden-Württemberg; Esslingen","12"
"4910720",,"SW-05-0130-2011","20110811","10","Baden-Württemberg; Ostalbkreis","12"
"4910721",,"SW-05-0159-2011","20110911","10","Baden-Württemberg; Schwäbisch Hall","12"
"4910729",,"SW-05-0042-2010","20101010","10","Baden-Württemberg; Stuttgart","12"
"4910732",,"SW-06-0036-2011","20110811","10","Baden-Württemberg; Waldshut","12"
"4910735",,"SW-03-0377-2011","20111011","10","Hessen; Frankfurt am Main","12"
"4910736",,"SW-05-0082-2010","20101110","10","Baden-Württemberg; Enzkreis","12"
"4910743",,"SW-06-0016-2011","20110711","10","Baden-Württemberg; Calw","12"
"4910750",,"SW-03-0236-2011","20110711","10","Baden-Württemberg; Neckar-Odenwald-Kreis","12"
"4910752",,"SW-05-0018-2010","20100910","10","Baden-Württemberg; Rems-Murr-Kreis","12"
"4910770",,"SW-03-0212-2010","20101110","10","Hessen; Frankfurt am Main","12"
"4910773",,"SW-03-0340-2011","20111011","10","Hessen; Frankfurt am Main","12"
"4910777",,"SW-05-0067-2010","20101110","10","Baden-Württemberg; Ludwigsburg","12"
"4910784",,"SW-05-0007-2010","20100810","10","Rheinland-Pfalz; Donnersbergkreis","12"
"4910786",,"SW-03-0194-2010","20101110","10","Hessen; Hochtaunuskreis","12"
"4910791",,"SW-01-0055-2011","20110811","10","Rheinland-Pfalz; Südliche Weinstraße","12"
"4910793",,"SW-03-0262-2011","20110811","10","Baden-Württemberg; Rastatt","12"
"5614757",,"9","20130614","61","Velika Trnava","0"
"5614758",,"40","20130819","11","Ilovski Klokocevac","0"
"5641204",,,"20130916","20","Overgård","11"
"5641265",,"LA201109260401","20110926","60","Kvols","11"
"5759403",,"05637/10","20100824","10","Rybnik","10"
"6396930",,"POLPDH13 067",,"13","Małopolskie, Piekielnik, Czarny Dunajec,","3"
"6397634",,"POLDOW15 012",,"13","Pomorskie , Korzeniowo, Kwidzyń,","3"
"6404022",,"POLPDH13 065",,"13","Małopolskie, Piekielnik, Czarny Dunajec,","2"
"6404409",,"POLZAP09 080",,"11","Zachodniopomorskie, Glinna, , Glinna,\"Kołowskie Parowy\",","2"
"6404447",,"POLGOR06 089",,"13","Małopolskie, Kotelniki, Kamienica, Kotelniki","2"
"6404491",,"POLTOR06 151",,"13","Kujawsko-Pomorskie, Gutowo, ,","2"
"6404615",,"POLPDH13 066",,"13","Małopolskie, Piekielnik, Czarny Dunajec,","2"
"6404616",,"POLPDH13 068",,"13","Małopolskie, Piekielnik, Czarny Dunajec,","2"
"6404720",,"POLTOR06 035",,"","Kujawsko-Pomorskie, Ostrowo, ,","2"
"6404816",,"POLDOW15 011",,"13","Pomorskie , Korzeniowo, Kwidzyń,","2"
"6404872",,"POLPDH13 080",,"13","Małopolskie, Piekielnik, Czarny Dunajec,","2"
"6404875",,"POLLBS15 028",,"21","Lubuskie, Jemiołów, Łagów,","2"
"6406227",,"POLLBS15 027",,"21","Lubuskie, Jemiołów, Łagów,","2"
"6406237",,"POLDOW15 007",,"13","Pomorskie , Korzeniowo, Kwidzyń,","2"
"6406297",,"POLLBS15 023",,"21","Lubuskie, Jemiołów, Łagów,","2"
"6406329",,"POLLBS15 024",,"21","Lubuskie, Jemiołów, Łagów,","2"
"6407007",,"POLZAP09 078",,"11","Glinna,\"Kołowskie Parowy\", Zachodniopomorskie","1"
"6407014",,"POLZAP09 077",,"11","Glinna,\"Kołowskie Parowy\", Zachodniopomorskie","1"
"6407107",,"POLPDH13 064",,"13","Małopolskie, powiat Tarzański, gmina Czarny Dunajec, Piekielnik","1"
"6499622",,"POLPDH13 078",,"13","Małopolskie, Piekielnik, Czarny Dunajec,","0"
"6501692",,"POLKUJ10 111",,"13","Brzezie, Kujawsko-Pomorskie","0"
"6504145",,"POLLBS15 026",,"21","Lubuskie, Jemiołów, Łagów,","0"
"6504316",,"POLKUJ10 092",,"60","Słonawy, Kujawsko-Pomorskie","0"
