"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"3107691","2b846ae4-ca79-430a-8286-d7e05665dcb4","DEU146","RUM 48","10.25642/IPK/GBIS/637419","Rumex","obtusifolius","L.","","","Rumex obtusifolius L.",,,"1977----","false","","false","13","120","NOR051","","","1285","2020-05-11 06:56:51"
"3107693","ad1a17c7-ce16-4b0b-8228-85d81f40d583","DEU146","RUM 46","10.25642/IPK/GBIS/637417","Rumex","obtusifolius","L.","","","Rumex obtusifolius L.",,,"1976----","false","","false","13;20","120","NOR051","","","1285","2020-05-11 06:50:39"
"3107694","5b580f70-885c-420e-b640-b06279345409","DEU146","RUM 47","10.25642/IPK/GBIS/637418","Rumex","obtusifolius","L.","","","Rumex obtusifolius L.",,,"1977----","false","","false","13","120","NOR051","","","1285","2020-05-11 06:41:22"
"3107696","29fcad9d-7924-4bfa-9dd6-16a1891c08c8","DEU146","RUM 18","10.25642/IPK/GBIS/47062","Rumex","obtusifolius","L.","subsp. obtusifolius","","Rumex obtusifolius L. subsp. obtusifolius",,,"1959----","false","","false","13","120",,"","","1285","2020-05-11 07:01:28"
"3793594","6dfcdbe5-96b1-4883-84ed-be90355af28b","GBR004","402464",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","GBR",,"20070802","false","true","false","10","110",,"","","4","2020-04-09 09:31:02"
"3817074","f6df577e-1083-463c-93d5-3f1736d78efe","GBR004","134392",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","MEX",,"19981014","false","true","false","10","110",,"","","4","2020-04-09 09:29:05"
"3823403","113f9e49-ce7f-41fc-a49d-3672491ae283","GBR004","59282",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","GBR",,"19851007","false","true","false","10","110",,"","","4","2020-04-09 09:28:27"
"3823408","d40eadc6-2ce4-4565-8c20-d521fa77fc4c","GBR004","59215",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","GBR",,"19851002","false","true","false","10","110",,"","","4","2020-04-09 09:28:27"
"3942026","631022fb-b05d-463a-9984-143e0730741b","SWE054","NGB21775",,"Rumex","rumex obtusifolius","","","","Rumex rumex obtusifolius","DNK","60","20121003","false","","false","13","100","NOR051","","","1285","2020-05-11 11:47:30"
"3942070","cac6e202-ecf3-49b9-afde-43ce9f07b46b","SWE054","NGB21717",,"Rumex","rumex obtusifolius","","","","Rumex rumex obtusifolius","DNK","60","20100409","false","","false","13","100","NOR051","","","1285","2020-05-11 11:45:30"
"4001213","b9ce13c7-7b47-480d-a3e7-5806a41b4e46","SWE054","NGB23492",,"Rumex","rumex obtusifolius","","","","Rumex rumex obtusifolius","DNK","60","20110816","false","","false","13","100","NOR051","","","1285","2020-05-11 11:45:15"
"4092107","87bd6f3e-e6b9-40e2-a683-f297381c7f33","HRV041","MAP02490",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","BIH",,,"","","false","12","110",,"2","2014-01-09 22:00:39","1285","2020-05-11 09:49:32"
"4537172","2347b01c-eb3f-4549-836f-9ac2dc7e7d3d","GBR004","610076",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","MEX",,"20101115","false","true","false","10","110",,"4","2015-09-25 13:31:22","4","2020-04-09 09:32:37"
"4539352","faacf225-428a-4553-b2b1-51c471e71ab9","GBR004","660428",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","MEX",,"20120321","false","true","false","10","110",,"4","2015-09-25 13:57:22","4","2020-04-09 09:32:55"
"4540631","b87f1bca-d42f-4904-a763-15cba09354da","GBR004","682767",,"Rumex","obtusifolius","L.","subsp. transiens","(Simonk.) Rech.f.","Rumex obtusifolius L. subsp. transiens (Simonk.) Rech.f.","SVK",,"20121210","false","true","false","10","110",,"4","2015-09-25 14:11:34","4","2020-04-09 09:33:06"
"4541235","5a25db0f-35ea-4fa8-bf0a-4a85683722be","GBR004","692252",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","MEX",,"20121207","false","true","false","10","110",,"4","2015-09-25 14:19:40","4","2020-04-09 09:33:10"
"4547825","1b8b4835-faf0-43c1-a9f7-c4c30f99364b","GBR004","780593",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","ARM",,"20140228","false","true","false","10","110",,"4","2015-09-25 15:04:51","4","2020-04-09 09:33:33"
"4876628","97271a09-5882-4903-b7e3-aa3ea42845a9","AZE004","AzGR-4546",,"Rumex","obtusifolius","L.","","","Rumex obtusifolius L.","AZE",,"19790808","","","false",,"100",,"4","2016-10-27 18:37:04","1285","2020-05-11 06:08:49"
