"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"3107682",,,,"99","Northern Area, Yasin valley, Darkot N, Weg von Rabang zu den Tato pani (heiße Quellen)","1"
"3107683",,,,"99",,"1"
"3107685",,,,"99","Magdeburg, Elbufer am Hafen","1"
"3107686","PRKHAN-86","4","19860627","99","Pyongyang","21"
"3107687",,,,"99",,"1"
"3107688",,,,"99",,"1"
"3107689",,,,"99",,"1"
"3107690",,,,"99",,"1"
"3107692",,,,"99",,"1"
"3383912",,,"1997----","24","Prahova, Valea Calugareasca","12"
"3762487",,"05134/06","20060000","10","Dunaszerdahely (Dunajská Stred","14"
"3762489",,"05118/06","20060000","10","Dunaszerdahely (Dunajská Stred","13"
"3786366",,"MSSK-1902","20080718","10",,"2"
"3795666",,"26/11/06 4","20061126","10",,"2"
"4041258","GEO-2010","186","20100726","10","Toki, ca. 13 km nordwestlich von Achalkalaki, ca. 1 km südlich des Ortes, Kreis Aspindza, Provinz Samcche-Dzavacheti","20"
"4882911",,"NB-18","20080820","",,"0"
"5759398",,"05487/08","20080814","10","Vanatori Neamt","11"
"5759400",,"05408/08","20080911","10","Öcsöd","11"
"5759401",,"05476/08","20080813","10","Cosula","10"
"6406306",,"POLDOW15 006",,"13","Pomorskie , Mątowy Małe, Miłoradz,","2"
"6505894",,"POLDOW15 003",,"13","Pomorskie , Mątowy Małe, Miłoradz,","0"
