"genesysId","instCode","name","aliasType","lang","version"
"3107682","DEU146","K 10662","OTHERNUMB",,"0"
"3107682","DEU146","D 7384","OTHERNUMB",,"0"
"3107683","DEU146","ST 258","OTHERNUMB",,"0"
"3107683","DEU146","RHEUM 32","OTHERNUMB",,"0"
"3107685","DEU146","K 10008","OTHERNUMB",,"0"
"3107686","DEU146","K 7045","OTHERNUMB",,"0"
"3107686",,"4","COLLNUMB",,"0"
"3107687","DEU146","K 3884","OTHERNUMB",,"0"
"3107688","DEU146","K 4427","OTHERNUMB",,"0"
"3383912",,"P-12274","ACCENAME",,"0"
"3762487",,"ökotipus","ACCENAME",,"0"
"3762487","HUN003","078402","OTHERNUMB",,"0"
"3762487",,"05134/06","COLLNUMB",,"0"
"3762489",,"ökotipus","ACCENAME",,"0"
"3762489","HUN003","078403","OTHERNUMB",,"0"
"3762489",,"05118/06","COLLNUMB",,"0"
"3786366",,"MSSK-1902","COLLNUMB",,"0"
"3795666",,"26/11/06 4","COLLNUMB",,"0"
"4041258",,"186","COLLNUMB",,"0"
"4882911","AZE015","AG-994","OTHERNUMB",,"0"
"4882911","AZE015","NB-18","OTHERNUMB",,"0"
"4882911",,"NB-18","COLLNUMB",,"0"
"5759398",,"ökotipus","ACCENAME",,"0"
"5759398",,"05487/08","COLLNUMB",,"0"
"5759400",,"öcsödi ökotipus","ACCENAME",,"0"
"5759400",,"05408/08","COLLNUMB",,"0"
"5759401",,"ökotipus","ACCENAME",,"0"
"5759401",,"05476/08","COLLNUMB",,"0"
"6406306",,"POLDOW15 006","ACCENAME",,"0"
"6406306",,"POLDOW15 006","COLLNUMB",,"0"
"6505894",,"POLDOW15 003","ACCENAME",,"0"
"6505894",,"POLDOW15 003","COLLNUMB",,"0"
