"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"3107660",,,,"99",,"1"
"3526866","C009",,"1977----","","Andalucia, Granada, Capileira","13"
"3527489","C013",,"1980----","","Castilla-La Mancha, Ciudad Real, Fuencaliente","13"
"3527494","C013",,"1980----","",,"13"
"3536054","C004","Z-00-056","2000----","","Andalucia, Cordoba, Lucena","13"
"4533878",,"767","20090818","10",,"1"
"4540968",,"94MSB","20120816","10",,"1"
"4540991",,"37MSB","20120806","10",,"1"
"4541120",,"284/12","20120703","10",,"1"
"4541544",,"MAVCAT-025","20120628","10",,"1"
"4625957",,"MSBJ_15_0047","20150827","10",,"0"
"4882878",,"NB-5","20080720","",,"0"
"4897215",,"SO-09-1077-2011","20110911","10","Bayern; Berchtesgadener Land","19"
"4910727",,"SW-05-0406-2013","20130713","10","Baden-Württemberg; Sigmaringen","19"
"4910762",,"SW-03-0223-2011","20110611","10","Rheinland-Pfalz; Cochem-Zell","19"
"4917692",,"Z-97-008","1997----","","Aragon, Huesca, Benasque, Valle Remuñe","18"
