"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"3107660","b66d2fe4-b505-43a4-8924-d89e1848b629","DEU146","RUM 20","10.25642/IPK/GBIS/47064","Rumex","scutatus","L.","","","Rumex scutatus L.",,,"1956----","false","","false","13","100",,"","","1285","2020-05-11 06:54:51"
"3526866","74b4dbc5-5676-41fa-9715-90ca19858444","ESP003","NC063554",,"Rumex","scutatus","L.","subsp. induratus","(Boiss. & Reut.) Nyman","Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman","ESP",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:26"
"3527489","959bc86d-aa70-484c-83a7-3b3f039d8b2f","ESP003","NC064192",,"Rumex","scutatus","L.","subsp. induratus","(Boiss. & Reut.) Nyman","Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman","ESP",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:33"
"3527494","877dbefd-85b4-458b-ba03-7ce68cba8c52","ESP003","NC064197",,"Rumex","scutatus","L.","subsp. induratus","(Boiss. & Reut.) Nyman","Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman","ESP",,,"false","","false","13","100",,"","","1285","2020-05-11 07:08:22"
"3536054","69c800a9-4a65-480a-afab-cb301ddc1059","ESP027","NC078231",,"Rumex","scutatus","L.","","","Rumex scutatus L.","ESP",,"20040722","false","","false","13","100","ESP004","","","1285","2020-05-11 07:18:44"
"4533878","3e3f59a7-70de-4fcd-8ad9-8e2f2bd326cb","GBR004","555050",,"Rumex","scutatus","L.","","","Rumex scutatus L.","GEO",,"20091105","false","false","false","10","110",,"4","2015-09-25 12:50:17","4","2020-04-09 09:32:13"
"4540968","039cae9f-e862-455e-9d1a-a341fd769ee8","GBR004","683546",,"Rumex","scutatus","L.","","","Rumex scutatus L.","ITA",,"20121205","false","true","false","10","110",,"4","2015-09-25 14:17:04","4","2020-04-09 09:33:06"
"4540991","79a95ff2-f8c0-403e-9028-979241a0ed24","GBR004","684554",,"Rumex","scutatus","L.","","","Rumex scutatus L.","ITA",,"20121205","false","false","false","10","110",,"4","2015-09-25 14:17:48","4","2020-04-09 09:33:06"
"4541120","146576c9-bc37-495c-ae74-694ed6edaf5e","GBR004","689940",,"Rumex","scutatus","L.","","","Rumex scutatus L.","ITA",,"20130129","false","false","false","10","110",,"4","2015-09-25 14:18:34","4","2020-04-09 09:33:08"
"4541544","dbb1b2ab-889d-410c-847c-686795d6af84","GBR004","692942",,"Rumex","scutatus","L.","","","Rumex scutatus L.","ITA",,"20130122","false","false","false","10","110",,"4","2015-09-25 14:22:27","4","2020-04-09 09:33:10"
"4625957","d4fdd39e-24a4-4df9-a4a1-9de13c513aa8","GBR004","868110",,"Rumex","scutatus","L.","","","Rumex scutatus L.","ITA",,"20160217","false","false","false","10","110",,"4","2016-08-16 16:20:07","4","2020-04-09 09:34:08"
"4882878","d977d814-9e0f-4d51-ab18-ab3f7d6a2918","AZE015","AzGR-9319","10.18730/V7Z1D","Rumex","scutatus","L.","","","Rumex scutatus L.","AZE",,"200904--","","","false","12","100",,"4","2016-10-27 18:38:22","1285","2020-05-11 06:09:55"
"4897215","44a347d1-6abd-4506-a0a5-e29cce5e26ba","DEU515","SO-09-1077-2011",,"Rumex","scutatus","L.","","","Rumex scutatus L.","DEU",,"2011----","false","","false","10","100","DEU502","4","2016-10-27 19:58:02","1285","2020-05-11 07:07:00"
"4910727","e77a5389-14b5-406b-8727-9be6b07d9328","DEU626","SW-05-0406-2013",,"Rumex","scutatus","L.","","","Rumex scutatus L.","DEU",,"2013----","false","","false","10","100","DEU502","4","2016-10-27 20:00:00","1285","2020-05-11 07:07:53"
"4910762","6f62aec3-73e8-41c6-a81f-e711aa3fd2fd","DEU626","SW-03-0223-2011",,"Rumex","scutatus","L.","","","Rumex scutatus L.","DEU",,"2011----","false","","false","10","100","DEU502","4","2016-10-27 20:00:00","1285","2020-05-11 07:07:43"
"4917692","ff64568f-d1f1-48de-9d16-13949ef7fd31","ESP027","NC105184",,"Rumex","scutatus","L.","","","Rumex scutatus L.","ESP",,,"false","","false","12","100",,"4","2016-10-27 20:12:48","1285","2020-05-11 07:17:46"
