"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"6429","103667c8-0808-4a64-be4c-abbbf99bd7d4","USA022","PI 384948",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","IRN","10","19721015","","true","false","10","100","USA005","","","","2014-07-23 14:21:41"
"6900","002f327c-33ec-480c-a527-28abc3f8b566","USA022","PI 517037",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","MAR","10","198601--","","true","false","10","100",,"","","","2014-07-23 15:33:08"
"22267","78eda71d-76ef-47e6-b862-f20b3d85abfa","USA022","PI 383753",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","TUR","10","19720915","","true","false","10","100","USA005","","","","2014-07-23 19:01:56"
"38149","66fc306e-62a9-4ad7-a1fe-621984bd7f4f","USA022","PI 251848",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","ITA","10","19581010","","true","false","10","100",,"","","","2014-07-23 14:37:03"
"38820","2ccdf747-005a-4202-8df0-b580c93908f1","USA022","PI 517036",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","MAR","10","198601--","","true","false","10","100","USA005","","","","2014-07-23 15:33:11"
"53981","389b5116-39a2-4a11-89ad-807b864b0acd","USA022","PI 269396",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","AFG","10","19601109","","true","false","10","100",,"","","","2014-07-23 10:21:47"
"70201","db8d70ef-3a83-47b7-bf42-6c0552abfcdd","USA022","PI 381023",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","IRN","10","19720915","","true","false","10","100","USA005","","","","2014-07-23 14:22:20"
"81264","64e378af-f47b-4638-95b4-694bc26aa38b","USA022","PI 234825",,"Sanguisorba","minor","Scop.","subsp. balearica","(Bourg. ex Nyman) Munoz Garm. & C. Navarro","Sanguisorba minor Scop. subsp. balearica (Bourg. ex Nyman) Munoz Garm. & C. Navarro","CHE","10","19561004","","true","false","10","100",,"","","","2014-07-23 11:11:35"
"85986","7cdc7600-95b6-46a7-ae87-e6d094b8faa1","USA022","PI 234485",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","ESP","10","19560918","","true","false","10","100","USA005","","","","2014-07-23 12:14:12"
"86200","a8691109-4ba9-46d2-a115-f314f66d21ab","USA022","PI 381025",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","IRN","10","19720915","","true","false","10","100","USA005","","","","2014-07-23 14:22:30"
