"genesysId","instCode","name","aliasType","lang","version"
"6429",,"D-308","ACCENAME",,"0"
"6429",,"D-308","OTHERNUMB",,"0"
"6429",,"D-308","COLLNUMB",,"0"
"6900",,"GR 530","ACCENAME",,"0"
"6900",,"GR 530","OTHERNUMB",,"0"
"6900",,"GR 530","DONORNUMB",,"0"
"22267",,"181","ACCENAME",,"0"
"22267",,"181","OTHERNUMB",,"0"
"22267",,"JS 0572","OTHERNUMB",,"0"
"22267",,"181","COLLNUMB",,"0"
"38820",,"GR 520","ACCENAME",,"0"
"38820",,"GR 520","OTHERNUMB",,"0"
"38820",,"GR 520","DONORNUMB",,"0"
"70201",,"318","ACCENAME",,"0"
"70201",,"318","OTHERNUMB",,"0"
"70201",,"JS 0572","OTHERNUMB",,"0"
"70201",,"318","COLLNUMB",,"0"
"86200",,"434","ACCENAME",,"0"
"86200",,"434","OTHERNUMB",,"0"
"86200",,"JS 0572","OTHERNUMB",,"0"
"86200",,"434","COLLNUMB",,"0"
"102188",,"237","ACCENAME",,"0"
"102188",,"237","OTHERNUMB",,"0"
"102188",,"JS 0572","OTHERNUMB",,"0"
"102188",,"237","COLLNUMB",,"0"
"114640",,"D-1398","ACCENAME",,"0"
"114640",,"D-1398","OTHERNUMB",,"0"
"114640",,"DRD 0777","OTHERNUMB",,"0"
"114640",,"D-1398","COLLNUMB",,"0"
"117948",,"289","ACCENAME",,"0"
"117948",,"289","OTHERNUMB",,"0"
"117948",,"QJ0765","OTHERNUMB",,"0"
"117948",,"289","COLLNUMB",,"0"
"118073",,"D-360","ACCENAME",,"0"
"118073",,"D-360","OTHERNUMB",,"0"
"118073",,"D-360","COLLNUMB",,"0"
"150237",,"64","ACCENAME",,"0"
"150237",,"64","OTHERNUMB",,"0"
"150237",,"JS 0572","OTHERNUMB",,"0"
"150237",,"64","COLLNUMB",,"0"
"150840",,"110689-0103","ACCENAME",,"0"
"150840","USA126","W6 2096","OTHERNUMB",,"0"
"150840",,"110689-0103","OTHERNUMB",,"0"
"150840",,"MKS 0589","OTHERNUMB",,"0"
"150840",,"110689-0103","COLLNUMB",,"0"
"213923",,"311","ACCENAME",,"0"
"213923",,"311","OTHERNUMB",,"0"
"213923",,"JS 0572","OTHERNUMB",,"0"
"213923",,"311","COLLNUMB",,"0"
"213924",,"383","ACCENAME",,"0"
"213924",,"383","OTHERNUMB",,"0"
"213924",,"JS 0572","OTHERNUMB",,"0"
"213924",,"383","COLLNUMB",,"0"
"214352",,"GR 581","ACCENAME",,"0"
"214352",,"GR 581","OTHERNUMB",,"0"
"214352",,"GR 581","DONORNUMB",,"0"
"229680",,"213","ACCENAME",,"0"
"229680",,"213","OTHERNUMB",,"0"
"229680",,"QJ0765","OTHERNUMB",,"0"
"229680",,"213","COLLNUMB",,"0"
"261457",,"90","ACCENAME",,"0"
"261457",,"90","OTHERNUMB",,"0"
"261457",,"JS 0572","OTHERNUMB",,"0"
"261457",,"90","COLLNUMB",,"0"
"261459",,"246","ACCENAME",,"0"
"261459",,"246","OTHERNUMB",,"0"
"261459",,"JS 0572","OTHERNUMB",,"0"
"261459",,"246","COLLNUMB",,"0"
"278101",,"WKT 36","ACCENAME",,"0"
"278101","USA126","W6 11449","OTHERNUMB",,"0"
"278101",,"110785-05","OTHERNUMB",,"1"
"278101",,"WKT 36","OTHERNUMB",,"0"
"278101",,"WKT 36","DONORNUMB",,"0"
"290429",,"AR-5","ACCENAME",,"0"
"290429",,"AR-5","OTHERNUMB",,"0"
"290429",,"MR 0882","OTHERNUMB",,"0"
"290429",,"AR-5","COLLNUMB",,"0"
"293228",,"278","ACCENAME",,"0"
"293228",,"278","OTHERNUMB",,"0"
"293228",,"QJ0765","OTHERNUMB",,"0"
"293228",,"278","COLLNUMB",,"0"
"356561",,"BURNET","ACCENAME",,"0"
"356561",,"BURNET","OTHERNUMB",,"0"
"356755",,"41","ACCENAME",,"0"
"356755",,"41","OTHERNUMB",,"0"
"356755",,"JS 0572","OTHERNUMB",,"0"
"356755",,"41","COLLNUMB",,"0"
"372361",,"48","ACCENAME",,"0"
"372361",,"48","OTHERNUMB",,"0"
"372479",,"38","ACCENAME",,"0"
"372479",,"38","OTHERNUMB",,"0"
"372479",,"JS 0572","OTHERNUMB",,"0"
"372479",,"38","COLLNUMB",,"0"
"385074",,"D-2139","ACCENAME",,"0"
"385074",,"D-2139","OTHERNUMB",,"0"
"385074",,"DRD 0777","OTHERNUMB",,"0"
"385074",,"D-2139","COLLNUMB",,"0"
"385574",,"AR-66","ACCENAME",,"0"
"385574",,"AR-66","OTHERNUMB",,"0"
"385574",,"MR 0882","OTHERNUMB",,"0"
"385574",,"AR-66","COLLNUMB",,"0"
"404286",,"198","ACCENAME",,"0"
"404286",,"198","OTHERNUMB",,"0"
"404286",,"QJ0765","OTHERNUMB",,"0"
"404286",,"198","COLLNUMB",,"0"
"404396",,"120","ACCENAME",,"0"
"404396",,"120","OTHERNUMB",,"0"
"404396",,"JS 0572","OTHERNUMB",,"0"
"404396",,"120","COLLNUMB",,"0"
"420364",,"611","ACCENAME",,"0"
"420364",,"611","OTHERNUMB",,"0"
"420364",,"QJ0765","OTHERNUMB",,"0"
"420364",,"611","COLLNUMB",,"0"
"452177",,"D-323","ACCENAME",,"0"
"452177",,"D-323","OTHERNUMB",,"0"
"452177",,"D-323","COLLNUMB",,"0"
"452498",,"JE 0781","ACCENAME",,"0"
"452498",,"JE 0781","OTHERNUMB",,"0"
"452655",,"MA 85-150","ACCENAME",,"0"
"452655","USA126","W6 3047","OTHERNUMB",,"0"
"452655",,"MA 85-150","OTHERNUMB",,"0"
"452655",,"MA 85-150","DONORNUMB",,"0"
"467772",,"259","ACCENAME",,"0"
"467772",,"259","OTHERNUMB",,"0"
"467772",,"QJ0765","OTHERNUMB",,"0"
"467772",,"259","COLLNUMB",,"0"
"467876",,"211","ACCENAME",,"0"
"467876",,"211","OTHERNUMB",,"0"
"467876",,"JS 0572","OTHERNUMB",,"0"
"467876",,"211","COLLNUMB",,"0"
"499804",,"185","ACCENAME",,"0"
"499804",,"185","OTHERNUMB",,"0"
"499804",,"QJ0765","OTHERNUMB",,"0"
"499804",,"185","COLLNUMB",,"0"
"2861195",,"AL 12170","OTHERNUMB",,"1"
"2861195",,"PMC 2767","OTHERNUMB",,"1"
"2936407","AUT011","BFLAOE-901504","OTHERNUMB",,"0"
"3107518","DEU146","D 6233","OTHERNUMB",,"0"
"3107518",,"6","COLLNUMB",,"0"
"3535135",,"31","COLLNUMB",,"0"
"3536215",,"Pinpinella menor","ACCENAME",,"0"
"3536215",,"011_CL02","COLLNUMB",,"0"
"3537574",,"Pimpinella menor","ACCENAME",,"0"
"3537574",,"096_CL04","COLLNUMB",,"0"
"3791879",,"501","COLLNUMB",,"0"
"3808720",,"LEB-223","COLLNUMB",,"0"
"3813240",,"MSSK 1309","COLLNUMB",,"0"
"3813518",,"19922850-20","COLLNUMB",,"0"
"3817407",,"MSSK 778","COLLNUMB",,"0"
"3824651",,"20200101","COLLNUMB",,"0"
"3825239",,"JN/78/1","COLLNUMB",,"0"
"3844675",,"UKRKRY99 011a","COLLNUMB",,"0"
"3976076","CZE096","158/02","DONORNUMB",,"0"
"3976076",,"158/02","COLLNUMB",,"0"
"3976076",,"4154","ACCENAME",,"0"
"3977954",,"TROU 10/02","COLLNUMB",,"0"
"3981845","CZE082","PF 295/94","DONORNUMB",,"0"
"3981845",,"71","COLLNUMB",,"0"
"3983144",,"26/96","COLLNUMB",,"0"
"3983146",,"34851","COLLNUMB",,"0"
"4092116",,"27","COLLNUMB",,"0"
"4534174",,"2000-24","COLLNUMB",,"0"
"4540011",,"Co 055","COLLNUMB",,"0"
"4545837",,"HYSB01","COLLNUMB",,"0"
"4624037",,"31/2015","COLLNUMB",,"0"
"4628834",,"CPI 23990","ACCENAME",,"0"
"4628834",,"CPI 23990","OTHERNUMB",,"0"
"4628834",,"SA 639","OTHERNUMB",,"0"
"4628834",,"SA 639","DONORNUMB",,"0"
