"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"10626","b6e854fe-71fb-4c52-ad79-59cbdde1ea37","USA022","W6 21143",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19990505","","true","false","10","100","USA005","","","","2014-07-23 15:48:12"
"10627","933c9ead-d0c5-433a-9fce-bf41c6627ff1","USA022","W6 21164",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19990505","","true","false","10","100","USA005","","","","2014-07-23 15:48:12"
"41226","ae8fbcc8-578e-4fba-adb7-028726e4f3df","USA022","PI 325474",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","RUS","10","19680202","","true","false","10","100","USA005","","","","2014-07-23 17:45:04"
"74374","856ca203-d8dd-4fb7-9f59-887ccd1bad11","USA022","W6 19745",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19970306","","true","false","10","100","USA005","","","","2014-07-23 15:48:15"
"90341","b94fbe32-1af0-41b9-98c8-42054e246d50","USA022","W6 18165",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","199505--","","true","false","10","100",,"","","","2014-07-23 15:48:17"
"90483","d81c637c-046e-4b32-9d37-3c186522943a","USA022","W6 21423",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19990505","","false","false","10","100",,"","","","2014-07-23 15:48:17"
"106473","c0af48c2-7a46-4b78-9319-33cb3201e64e","USA022","W6 21404",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19990505","","false","false","10","100",,"","","","2014-07-23 15:48:18"
"122319","65ac78da-df39-4ba5-8731-38fa5541f845","USA022","W6 21470",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19990505","","false","false","10","100",,"","","","2014-07-23 15:48:20"
"154349","e7a8297e-d235-4f28-992c-d5fc77e6632b","USA022","W6 21596",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19990505","","false","false","10","100",,"","","","2014-07-23 15:48:21"
"202444","5d9e5c91-61fd-48d8-aa06-83eb4880e44a","USA022","W6 33340",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","USA","10","20080624","","false","false","10","100","USA005","","","","2014-07-23 20:09:35"
"233799","24e7fb80-a192-4541-8c06-da01b0f99364","USA022","W6 18152",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","199505--","","true","false","10","100","USA005","","","","2014-07-23 15:48:27"
"265807","e2916733-7d2e-4da3-b5f4-a5205644c52e","USA151","NA 71376",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","RUS","99","20010901","","false","false","10","100",,"","","","2014-07-23 17:46:11"
"297615","5303c9ed-83fe-4f7d-b435-a99cc3ba31bf","USA022","W6 21210",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19990505","","true","false","10","100","USA005","","","","2014-07-23 15:48:31"
"313310","324342de-7afe-4b39-9e7d-3fe47a3c294e","USA022","W6 19673",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19970306","","false","false","10","100",,"","","","2014-07-23 15:48:32"
"313312","f18a2ac5-c426-4dbd-8941-b620a6a6a1f1","USA022","W6 19715",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","MNG","10","19970306","","true","false","10","100","USA005","","","","2014-07-23 15:48:32"
"456603","219a45b8-2914-49e6-ac36-b2784880b9f5","USA151","NA 54764",,"Sanguisorba","officinalis","","","","Sanguisorba officinalis","","10","19840809","","true","false",,"100",,"","","",""
"470472","e3d1d006-8994-4f61-9afa-8effc35ffb9d","USA022","PI 249861",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","GRC","10","19580808","","true","false","10","100","USA005","","","","2014-07-23 13:16:22"
"3419797","75be7413-67fd-4dae-823d-6f07c823229a","UKR019","UG2500002",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","UKR","40","20030000","","","false",,"100",,"","","1285","2020-05-11 12:02:33"
"3419818","04a34e5e-31ef-4cd7-8d4d-3a0bfe006d4c","UKR019","UG2500001",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","UKR","40","19980000","","","false","12","100",,"","","1285","2020-05-11 12:02:39"
"3790376","5d181f0d-47dd-4e30-ab8d-346768b6544c","GBR004","437853",,"Sanguisorba","officinalis","L.","var. longifolia","(Bertol.) T.T.Yu & C.L.Li","Sanguisorba officinalis L. var. longifolia (Bertol.) T.T.Yu & C.L.Li","CHN",,"20080204","false","false","false","10","110",,"","","4","2020-04-09 09:31:16"
"3790480","bdb49359-c2a4-43f9-b455-904c1238739e","GBR004","434759",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","CHN",,"20080204","false","false","false","10","110",,"","","4","2020-04-09 09:31:16"
"3795687","f80a40fb-921c-48e1-a40a-48169c8136e7","GBR004","374794",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","HUN",,"20070227","false","false","false","10","110",,"","","4","2020-04-09 09:30:48"
"3798970","780f5db6-ccce-414a-8079-b49b262cd787","GBR004","341114",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","USA",,"20060914","false","true","false","10","110",,"","","4","2020-04-09 09:30:32"
"3816638","caae162d-ce05-409a-96fc-342e17cc2e47","GBR004","136293",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","GBR",,"19990817","false","true","false","10","110",,"","","4","2020-04-09 09:29:06"
"3816696","05b610c6-df57-4d08-ab72-138317c36174","GBR004","135713",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","GBR",,"19990804","false","true","false","10","110",,"","","4","2020-04-09 09:29:04"
"3816727","3b9dd894-79cb-4403-ae1f-b79877479dfb","GBR004","135344",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","GBR",,"19990723","false","true","false","10","110",,"","","4","2020-04-09 09:29:04"
"3817170","73126f7b-a52a-41d9-9578-3c0cb4ffe323","GBR004","131069",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","GBR",,"19981006","false","false","false","10","110",,"","","4","2020-04-09 09:29:03"
"3942291","e47f8e97-8468-47fa-ba20-39d3e9ce79d6","SWE054","NGB21102",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","ISL","10","20100111","false","","false","13","100",,"","","1285","2020-05-11 11:47:31"
"3975750","b60e84b2-bca4-4d93-abdb-a9fb0ec873e6","CZE122","09AD800004",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","CZE",,"2009----","true","","false","10;13","100",,"","","1285","2020-05-11 06:32:54"
"3977929","959909d8-5c8f-4e36-9710-36d469c252ac","CZE122","09AD800506",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","CZE",,"2002----","true","","false","10;13","100",,"","","1285","2020-05-11 06:35:38"
"3978758","1d0caf17-35f0-44af-91e6-1584d0e66827","CZE122","09AD800504",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","CZE",,"2000----","true","","false","10;13","100",,"","","1285","2020-05-11 06:34:46"
"3979166","d7ef1d6e-5ec8-48f8-8e19-146d940975cf","CZE122","09AD850003",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","CZE","25","1998----","true","","false","10;13","100",,"","","1285","2020-05-11 06:35:11"
"3981844","a7dd1163-0d17-4221-9472-c4316e476d69","CZE122","09AD850002",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","CZE","13","1998----","true","","false","10;13","100",,"","","1285","2020-05-11 06:33:56"
"3983145","5cf506ce-457e-4d50-bf14-c0e282daf9c8","CZE122","09AD800501",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","CZE","13","1994----","true","","false","10;13","100",,"","","1285","2020-05-11 06:34:39"
"3991158","83ff0939-35d0-443b-9f2f-bf8a45f84db9","CZE122","09AD800002",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","CSK",,"1990----","true","","false","10;13","100",,"","","1285","2020-05-11 06:32:13"
"4352171","8fb747e4-ac53-4d71-ae34-c3ac2ac13187","USA022","W6 41388",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","USA",,"20110411","","false","false","10","100","USA005","4","2014-05-05 12:54:25","","2014-07-23 20:53:37"
"4395306","e3afaaf5-2e64-48bc-9599-a382b876f789","USA022","W6 35622",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","RUS",,"20090723","","false","false","10","100",,"4","2014-05-06 08:37:43","","2014-07-23 18:19:47"
"4540932","6a91d6f3-528c-46ca-95ca-d1a103bf8122","GBR004","683476",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","ITA",,"20121205","false","true","false","10","110",,"4","2015-09-25 14:17:04","4","2020-04-09 09:33:06"
"4546132","f1fce3ca-5731-4fe1-a6ee-df5d3017a7f0","GBR004","754956",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","GBR",,"20131004","false","true","false","10","110",,"4","2015-09-25 14:48:41","4","2020-04-09 09:33:22"
"4546751","3e5b70dc-f119-48b6-9308-bc8d6caeb06f","GBR004","764164",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","GEO",,"20131223","false","false","false","10","110",,"4","2015-09-25 14:56:17","4","2020-04-09 09:33:27"
"4550402","00933300-43e4-427b-b889-c6e41b5dcc33","GBR004","815963",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","AUT",,"20150129","false","false","false","10","110",,"4","2015-09-25 15:27:02","4","2020-04-09 09:33:47"
"4550477","c1791d84-87d7-4ad5-aa6f-e4440b115013","GBR004","816465",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","SVK",,"20150130","false","true","false","10","110",,"4","2015-09-25 15:27:28","4","2020-04-09 09:33:50"
"4669972","21a6dbcf-4199-44a2-89e9-eb77c2b89cdb","AUS167","APG 42338",,"Sanguisorba","minor","SCOP.","","","Sanguisorba minor SCOP.","AZE",,"20040805","true","","false","13","100",,"589","2016-09-16 05:52:52","589","2018-09-21 02:19:32"
"4876661","2df356b9-08bc-4980-9997-d783cfd357b5","AZE004","AzGR-4379",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","AZE",,"19680719","","","false",,"100",,"4","2016-10-27 18:37:04","1285","2020-05-11 06:08:42"
"4890582","aa6942f8-dfb8-4fb9-bd3a-a66be6f22be2","DEU022","NO-01-0508-2012",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","DEU",,"2012----","false","","false","10","100","DEU502","4","2016-10-27 19:20:23","1285","2020-05-11 06:36:23"
"4890604","8586ae1c-2cfb-4e53-872a-592c145448c9","DEU022","NO-01-0344-2012",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","DEU",,"2012----","false","","false","10","100","DEU502","4","2016-10-27 19:20:23","1285","2020-05-11 06:36:38"
"4897202","cf2a4bd7-b111-46ff-81ed-11f8d387b489","DEU515","SO-06-0488-2011",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","DEU",,"2011----","false","","false","10","100","DEU502","4","2016-10-27 19:58:02","1285","2020-05-11 07:07:00"
"4897209","8491014e-1282-4a32-9fb2-cdaa28447f94","DEU515","SO-07-0587-2011",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","DEU",,"2011----","false","","false","10","100","DEU502","4","2016-10-27 19:58:02","1285","2020-05-11 07:06:56"
"4897210","54717120-9b67-4de8-9659-cd5cccfb1e7c","DEU515","SO-05-0929-2012",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","DEU",,"2012----","false","","false","10","100","DEU502","4","2016-10-27 19:58:02","1285","2020-05-11 07:07:01"
"4911273","a88729f6-e9ac-4217-a433-a7de1a3577b7","DEU626","SW-05-0204-2012",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","DEU",,"2012----","false","","false","10","100","DEU502","4","2016-10-27 20:00:04","1285","2020-05-11 07:08:00"
"4911281","19a89b7a-a9db-44aa-a491-225665ccd7d4","DEU626","SW-03-0473-2012",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","DEU",,"2012----","false","","false","10","100","DEU502","4","2016-10-27 20:00:04","1285","2020-05-11 07:07:47"
"4911283","4f11721a-b322-4cf1-a982-a9aa053cce88","DEU626","SW-05-0121-2011",,"Sanguisorba","officinalis","L.","","","Sanguisorba officinalis L.","DEU",,"2011----","false","","false","10","100","DEU502","4","2016-10-27 20:00:04","1285","2020-05-11 07:07:58"
