"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"10626","48.10805556","108.72416667","1524.0",,"",,"3"
"10627","48.07388889","109.22944444","1463.0",,"",,"3"
"74374","49.43055556","94.49277778","2172.0",,"",,"3"
"90341","48.67194444","106.11","1251.0",,"",,"3"
"90483","49.78444444","107.56944444","853.0",,"",,"3"
"106473","49.74861111","106.48361111","914.0",,"",,"3"
"122319","50.27611111","105.11027778","823.0",,"",,"3"
"154349","50.30472222","99.75444444","2103.0",,"",,"3"
"202444","","","1021.0",,"",,"0"
"233799","47.24111111","109.00638889","1159.0",,"",,"3"
"297615","48.3975","110.20111111","1036.0",,"",,"3"
"313310","49.38527778","102.79527778","1090.0",,"",,"3"
"313312","48.95805556","96.78138889","1863.0",,"",,"3"
"3790376","","","325.0",,"",,"0"
"3790480","","","113.0",,"",,"0"
"3795687","","","96.0",,"",,"0"
"3798970","","","1021.0",,"",,"0"
"3816638","","","90.0",,"",,"0"
"3816696","","","30.0",,"",,"0"
"3816727","","","50.0",,"",,"0"
"3817170","","","170.0",,"",,"0"
"3942291","64.161667","-21.796944","4.0",,"",,"6"
"3977929","49.3275","16.738056","460.0",,"",,"6"
"3978758","","","290.0",,"",,"0"
"3979166","48.990833","17.906667","480.0",,"",,"6"
"3981844","48.883889","17.568611","380.0",,"",,"6"
"3983145","","","435.0",,"",,"0"
"4395306","55.05","58.53","596.0",,"",,"2"
"4540932","","","1690.0",,"",,"0"
"4546132","","","380.0",,"",,"0"
"4546751","","","2010.0",,"",,"0"
"4550402","","","140.0",,"",,"0"
"4550477","","","150.0",,"",,"0"
"4669972","40.65","48.48333333","745.0",,"",,"1"
"6285068","51.150833","15.548611","203.0",,"",,"1"
"6397478","52.981944","17.711389","68.0",,"",,"0"
"6404661","51.571111","15.394722","116.0",,"",,"0"
"6406044","50.576667","20.764444","212.0",,"",,"0"
"6406088","51.150833","15.548611","203.0",,"",,"0"
"6406844","51.571111","15.394722","116.0",,"",,"0"
"6406865","51.150833","15.548611","203.0",,"",,"0"
"6407017","53.860833","18.129167","125.0",,"",,"0"
"6475084","50.868889","15.0","",,"",,"0"
"6475107","50.7","22.681667","",,"",,"0"
"6475199","50.816667","22.683333","",,"",,"0"
"6475251","50.716667","22.654167","",,"",,"0"
"6475486","52.033333","22.886667","",,"",,"0"
"6475517","50.774444","16.162222","",,"",,"0"
"6475550","50.850556","16.033333","",,"",,"0"
"6475663","50.8925","15.063611","",,"",,"0"
"6498694","51.362222","23.106111","169.0",,"",,"0"
"6499149","50.584722","20.841667","214.0",,"",,"0"
"6499404","51.35","23.260833","173.0",,"",,"0"
"6500687","51.680278","16.330556","77.0",,"",,"0"
"6500739","51.680278","16.330556","77.0",,"",,"0"
"6500986","50.990278","16.069444","336.0",,"",,"0"
"6501118","51.037222","15.028056","434.0",,"",,"0"
"6501497","51.349444","23.254444","173.0",,"",,"0"
"6502436","52.981944","17.711389","68.0",,"",,"0"
"6502802","51.050833","22.854722","260.0",,"",,"0"
"6502825","51.571111","15.394722","116.0",,"",,"0"
"6505497","51.680278","16.330556","77.0",,"",,"0"
"6549123","46.329722","16.675556","144.0",,"",,"0"
"6559798","","","72.0",,"",,"0"
