"genesysId","instCode","name","aliasType","lang","version"
"10626",,"98HT-10","ACCENAME",,"0"
"10626","USA126","W6 21143","OTHERNUMB",,"0"
"10626",,"98HT-10","OTHERNUMB",,"0"
"10626",,"DJ0898","OTHERNUMB",,"0"
"10626",,"98HT-10","COLLNUMB",,"0"
"10627",,"98HT-36","ACCENAME",,"0"
"10627","USA126","W6 21164","OTHERNUMB",,"0"
"10627",,"98HT-36","OTHERNUMB",,"0"
"10627",,"DJ0898","OTHERNUMB",,"0"
"10627",,"98HT-36","COLLNUMB",,"0"
"41226",,"S-302","ACCENAME",,"0"
"41226",,"S-302","OTHERNUMB",,"0"
"41226",,"S&B 0867","OTHERNUMB",,"0"
"41226",,"S-302","COLLNUMB",,"0"
"74374",,"96N-255","ACCENAME",,"0"
"74374","USA126","W6 19745","OTHERNUMB",,"0"
"74374",,"96N-255","OTHERNUMB",,"0"
"74374",,"DAJ0896","OTHERNUMB",,"0"
"74374",,"96N-255","COLLNUMB",,"0"
"90341",,"W94003","ACCENAME",,"0"
"90341","USA126","W6 18165","OTHERNUMB",,"0"
"90341",,"W94003","OTHERNUMB",,"0"
"90341",,"DAJ0194","OTHERNUMB",,"0"
"90341",,"W94003","COLLNUMB",,"0"
"90483",,"98HV-42","ACCENAME",,"0"
"90483","USA126","W6 21423","OTHERNUMB",,"0"
"90483",,"98HV-42","OTHERNUMB",,"0"
"90483",,"DJ0898","OTHERNUMB",,"0"
"90483",,"98HV-42","COLLNUMB",,"0"
"106473",,"98HV-22","ACCENAME",,"0"
"106473","USA126","W6 21404","OTHERNUMB",,"0"
"106473",,"98HV-22","OTHERNUMB",,"0"
"106473",,"DJ0898","OTHERNUMB",,"0"
"106473",,"98HV-22","COLLNUMB",,"0"
"122319",,"98HV-90","ACCENAME",,"0"
"122319","USA126","W6 21470","OTHERNUMB",,"0"
"122319",,"98HV-90","OTHERNUMB",,"0"
"122319",,"DJ0898","OTHERNUMB",,"0"
"122319",,"98HV-90","COLLNUMB",,"0"
"154349",,"98HV-224","ACCENAME",,"0"
"154349","USA126","W6 21596","OTHERNUMB",,"0"
"154349",,"98HV-224","OTHERNUMB",,"0"
"154349",,"DJ0898","OTHERNUMB",,"0"
"154349",,"98HV-224","COLLNUMB",,"0"
"202444",,"OR931-22","OTHERNUMB",,"1"
"202444","USA126","W6 33340","OTHERNUMB",,"0"
"202444",,"OR931-22","ACCENAME",,"0"
"202444",,"341114","OTHERNUMB",,"0"
"202444",,"OR931-22","DONORNUMB",,"0"
"233799",,"E94243","ACCENAME",,"0"
"233799","USA126","W6 18152","OTHERNUMB",,"0"
"233799",,"E94243","OTHERNUMB",,"0"
"233799",,"DAJ0194","OTHERNUMB",,"0"
"233799",,"E94243","COLLNUMB",,"0"
"265807","USA126","NA 71376","OTHERNUMB",,"0"
"265807",,"VV-253","ACCENAME",,"0"
"265807",,"VV-253","OTHERNUMB",,"0"
"265807",,"VV-253","COLLNUMB",,"0"
"297615",,"98HT-103","ACCENAME",,"0"
"297615","USA126","W6 21210","OTHERNUMB",,"0"
"297615",,"98HT-103","OTHERNUMB",,"0"
"297615",,"DJ0898","OTHERNUMB",,"0"
"297615",,"98HT-103","COLLNUMB",,"0"
"313310",,"96S-175","ACCENAME",,"0"
"313310","USA126","W6 19673","OTHERNUMB",,"0"
"313310",,"96S-175","OTHERNUMB",,"0"
"313310",,"DAJ0896","OTHERNUMB",,"0"
"313310",,"96S-175","COLLNUMB",,"0"
"313312",,"96N-224","ACCENAME",,"0"
"313312","USA126","W6 19715","OTHERNUMB",,"0"
"313312",,"96N-224","OTHERNUMB",,"0"
"313312",,"DAJ0896","OTHERNUMB",,"0"
"313312",,"96N-224","COLLNUMB",,"0"
"456603","USA126","NA 54764","OTHERNUMB",,"0"
"3419797",,"00213","COLLNUMB",,"0"
"3419818",,"00106","COLLNUMB",,"0"
"3790376",,"SCSB-JSC41","COLLNUMB",,"0"
"3790480",,"SCSB-JS0305","COLLNUMB",,"0"
"3795687",,"15/10/06 5","COLLNUMB",,"0"
"3798970",,"OR931-22","COLLNUMB",,"0"
"3816638",,"GF178","COLLNUMB",,"0"
"3816696",,"SA0FF","COLLNUMB",,"0"
"3816727",,"GF17A","COLLNUMB",,"0"
"3817170",,"NONE","COLLNUMB",,"0"
"3942291",,"GELDINGENES MG0201","ACCENAME",,"0"
"3975750",,"16/115","COLLNUMB",,"0"
"3977929",,"MKRAS 91/01","COLLNUMB",,"0"
"3978758",,"TROU 65/98","COLLNUMB",,"0"
"3979166","CZE082","PF 264/94","DONORNUMB",,"0"
"3979166",,"40","COLLNUMB",,"0"
"3981844","CZE082","PF 296/94","DONORNUMB",,"0"
"3981844",,"72","COLLNUMB",,"0"
"3983145",,"126/94","COLLNUMB",,"0"
"4352171",,"SAOF3-SOS-OR110-270-10","ACCENAME",,"0"
"4352171",,"SAOF3-SOS-OR110-270-10","OTHERNUMB",,"0"
"4352171","USA126","W6 41388","OTHERNUMB",,"0"
"4352171",,"BLOR110","OTHERNUMB",,"0"
"4352171",,"SOS-OR110-270","OTHERNUMB",,"0"
"4352171",,"SAOF3-SOS-OR110-270-10","DONORNUMB",,"0"
"4395306",,"R08-38-170","ACCENAME",,"0"
"4395306",,"R08-38-170","OTHERNUMB",,"0"
"4395306","USA126","W6 35622","OTHERNUMB",,"0"
"4395306",,"R08-38-170","COLLNUMB",,"0"
"4540932",,"104MSB","COLLNUMB",,"0"
"4546132",,"RSK4","COLLNUMB",,"0"
"4546751",,"CD-20","COLLNUMB",,"0"
"4550402",,"BK 20140909-19","COLLNUMB",,"0"
"4550477",,"JKMS 361","COLLNUMB",,"0"
"4669972",,"571","COLLNUMB",,"0"
"4669972",,"SA 42338","ACCENAME",,"0"
"4669972",,"SA 42338","DONORNUMB",,"0"
"4669972",,"Site 57","OTHERNUMB",,"0"
"4669972",,"571","OTHERNUMB",,"0"
"4669972",,"SA 42338","OTHERNUMB",,"0"
"4876661",,"Aptek gambati","ACCENAME",,"0"
"4876661","AZE004","DERMAN-249","OTHERNUMB",,"0"
"4876661","AZE015","SEYYARE-249","OTHERNUMB",,"0"
"4876661",,"SEYYARE-249","COLLNUMB",,"0"
"4890582",,"NO-01-0508-2012","COLLNUMB",,"0"
"4890604",,"NO-01-0344-2012","COLLNUMB",,"0"
"4897202",,"SO-06-0488-2011","COLLNUMB",,"0"
"4897209",,"SO-07-0587-2011","COLLNUMB",,"0"
"4897210",,"SO-05-0929-2012","COLLNUMB",,"0"
"4911273",,"SW-05-0204-2012","COLLNUMB",,"0"
"4911281",,"SW-03-0473-2012","COLLNUMB",,"0"
"4911283",,"SW-05-0121-2011","COLLNUMB",,"0"
"4911287",,"SW-06-0098-2012","COLLNUMB",,"0"
"4911293",,"SW-05-0234-2012","COLLNUMB",,"0"
"4911294",,"SW-03-0481-2012","COLLNUMB",,"0"
"4911301",,"SW-06-0101-2012","COLLNUMB",,"0"
"4911312",,"SW-06-0079-2012","COLLNUMB",,"0"
"4911314",,"SW-05-0131-2011","COLLNUMB",,"0"
"6285068",,"POLLBS05 532","ACCENAME",,"0"
"6285068",,"POLLBS05 532","COLLNUMB",,"0"
"6397478",,"POLKUJ13 016","ACCENAME",,"0"
"6397478",,"POLKUJ13 016","COLLNUMB",,"0"
"6404661",,"POLLBS05 354","ACCENAME",,"0"
"6404661",,"POLLBS05 354","COLLNUMB",,"0"
"6406044",,"POLKIE08 322","ACCENAME",,"0"
"6406044",,"POLKIE08 322","COLLNUMB",,"0"
"6406088",,"POLLBS05 506","ACCENAME",,"0"
"6406088",,"POLLBS05 506","COLLNUMB",,"0"
"6406844",,"POLLBS05 342","ACCENAME",,"0"
"6406844",,"POLLBS05 342","COLLNUMB",,"0"
"6406865",,"POLLBS05 525","ACCENAME",,"0"
"6406865",,"POLLBS05 525","COLLNUMB",,"0"
"6407017",,"POLKKA12 063","ACCENAME",,"0"
"6407017",,"POLKKA12 063","COLLNUMB",,"0"
"6475084",,"krwiściąg lekarski","ACCENAME",,"0"
"6475084",,"7PL","COLLNUMB",,"0"
"6475107",,"krwiściąg lekarski","ACCENAME",,"0"
"6475107",,"1PL","COLLNUMB",,"0"
"6475199",,"krwiściąg lekarski","ACCENAME",,"0"
"6475199",,"3","COLLNUMB",,"0"
"6475251",,"krwiściąg lekarski","ACCENAME",,"0"
"6475251",,"2","COLLNUMB",,"0"
"6475486",,"krwiściąg lekarski","ACCENAME",,"0"
"6475486",,"4","COLLNUMB",,"0"
"6475517",,"krwiściąg lekarski","ACCENAME",,"0"
"6475517",,"6","COLLNUMB",,"0"
"6475550",,"krwiściąg lekarski","ACCENAME",,"0"
"6475550",,"5","COLLNUMB",,"0"
"6475663",,"krwiściąg lekarski","ACCENAME",,"0"
"6475663",,"8PL","COLLNUMB",,"0"
"6498694",,"POLLUB16 032","ACCENAME",,"0"
"6498694",,"POLLUB16 032","COLLNUMB",,"0"
"6499149",,"POLKIE08 266","ACCENAME",,"0"
"6499149",,"POLKIE08 266","COLLNUMB",,"0"
"6499404",,"POLLUB16 078","ACCENAME",,"0"
"6499404",,"POLLUB16 078","COLLNUMB",,"0"
