"lon","lat","acronym","genus","species","country"
36,35.85,"ALLAMP","Allium","ampeloprasum",NA
23.416667,38.316667,"ALLAMP","Allium","ampeloprasum",NA
35.95,35.916667,"ALLAMP","Allium","ampeloprasum",NA
27.033333,39.066667,"ALLAMP","Allium","ampeloprasum",NA
21.533333,37.666667,"ALLAMP","Allium","ampeloprasum",NA
21.616667,39.716667,"ALLAMP","Allium","ampeloprasum",NA
22.85,37.166667,"ALLAMP","Allium","ampeloprasum",NA
21.683333,38.183333,"ALLAMP","Allium","ampeloprasum",NA
22.883333,37.583333,"ALLAMP","Allium","ampeloprasum",NA
36,35.783333,"ALLAMP","Allium","ampeloprasum",NA
19.75,47.35,"ASPOFF","Asparagus","officinalis",NA
10.611944,55.9025,"ASPOFF","Asparagus","officinalis",NA
12.930833,55.388611,"ASPOFF","Asparagus","officinalis",NA
10.105833,55.249167,"ASPOFF","Asparagus","officinalis",NA
10.129444,55.228056,"ASPOFF","Asparagus","officinalis",NA
10.087222,55.195556,"ASPOFF","Asparagus","officinalis",NA
10.0825,55.197222,"ASPOFF","Asparagus","officinalis",NA
19.821667,47.356389,"ASPOFF","Asparagus","officinalis",NA
-6.63694,52.1997,"ASPOFF","Asparagus","officinalis",NA
-7.11361,52.1533,"ASPOFF","Asparagus","officinalis",NA
-6.08,52.8533,"ASPOFF","Asparagus","officinalis",NA
-6.07806,52.8528,"ASPOFF","Asparagus","officinalis",NA
20.633889,50.422222,"ASPOFF","Asparagus","officinalis",NA
10.523889,56.232222,"ASPOFF","Asparagus","officinalis",NA
10.758611,59.871111,"ASPOFF","Asparagus","officinalis",NA
10.752222,59.866111,"ASPOFF","Asparagus","officinalis",NA
-1.738056,38.605833,"ASPOFF","Asparagus","officinalis",NA
10.495556,59.432778,"ASPOFF","Asparagus","officinalis",NA
11.3075,55.980556,"ASPOFF","Asparagus","officinalis",NA
0,55.383333,"ASPOFF","Asparagus","officinalis",NA
45.4,39.216667,"ASPOFF","Asparagus","officinalis",NA
-6.505,37.121944,"ASPOFF","Asparagus","officinalis",NA
15.146111,55.133889,"ASPOFF","Asparagus","officinalis",NA
18.834167,53.727778,"ASPOFF","Asparagus","officinalis",NA
20.633889,50.422222,"ASPOFF","Asparagus","officinalis",NA
-3.283333,40.5,"ATRHOR","Atriplex","hortensis",NA
21.571944,41.579167,"ATRHOR","Atriplex","hortensis",NA
46.566667,40.766667,"ATRHOR","Atriplex","hortensis",NA
-7.896944,42.250833,"ATRHOR","Atriplex","hortensis",NA
16.53333333,40.56666667,"BETVUL","Beta","vulgaris",NA
0.36666667,50.71666667,"BETVUL","Beta","vulgaris",NA
