"genus","species","acronym"
"Allium","ampeloprasum","ALLAMP"
"Asparagus","officinalis","ASPOFF"
"Atriplex","hortensis","ATRHOR"
"Beta","vulgaris","BETVUL"
"Brassica","napus","BRANAP"
"Brassica","rapa","BRARAP"
"Campanula","rapunculus","CAMRAP"
"Chaerophyllum","bulbosum","CHABUL"
"Chenopodium","album","CHEALB"
"Chenopodium","bonus-henricus","CHEBON"
"Chenopodium","foliosum","CHEFOL"
"Cichorium","intybus","CICINT"
"Crambe","maritima","CRAMAR"
"Daucus","carota","DAUCAR"
"Lathyrus","tuberosus","LATTUB"
"Nasturtium","officinale","NASOFF"
"Pastinaca","sativa","PASSAT"
"Peucedanum","ostruthium","PEUOST"
"Rumex","acetosa","RUMACE"
"Rumex","obtusifolius","RUMOBT"
"Rumex","patientia","RUMPAT"
"Sanguisorba","officinalis","SANOFF"
"Angelica","archangelica","ANGARC"
"Armoracia","rusticana","ARMRUS"
"Brassica","nigra","BRANIG"
"Carum","carvi","CARCAR"
"Humulus","lupulus","HUMLUP"
"Levisticum","officinale","LEVOFF"
"Mentha","spicata","MENSPI"
"Mentha","suaveolens","MENSUA"
"Myrrhis","odorata","MYRODO"
"Origanum","vulgare","ORIVUL"
"Sanguisorba","minor","SANMIN"
