"species","SRSin","GRSin","ERSin","FCSin","FCSin_class"
"ALLAMP",8.70870870870871,12.2485614131498,90.4761904761905,37.1444868660163,"MP"
"ALLSCO",14.7482014388489,16.7517891682932,92.5925925925926,41.3641943999116,"MP"
"ANGARC",8.63636363636364,15.7554540307689,93.1034482758621,39.1650886476649,"MP"
"ARMRUS",5.3030303030303,13.8628022671658,97.2222222222222,38.7960182641394,"MP"
"ASPOFF",15.0326797385621,12.819082331213,97.8260869565217,41.892616342099,"MP"
"ATRHOR",11.0294117647059,14.4424633376865,92.1052631578947,39.1923794200957,"MP"
"BETVUL",13.3766233766234,13.3353553581599,95.3488372093023,40.6869386480285,"MP"
"BRANAP",7.69230769230769,14.0839783491386,93.1818181818182,38.3193680744215,"MP"
"BRANIG",11.0714285714286,13.771522988044,92.3076923076923,39.0502146223883,"MP"
"BRARAP",5.99078341013825,14.6089991294315,93.1818181818182,37.9272002404626,"MP"
"CAMRAP",14.5584725536993,12.5385338662517,95.1219512195122,40.7396525464877,"MP"
"CARCAR",7.11610486891386,15.743628966453,95.2380952380952,39.3659430244874,"MP"
"CHABUL",6.65083135391924,13.9013075301159,97.1428571428571,39.2316653422974,"MP"
"CHEALB",4.50643776824034,13.8134476153395,93.4782608695652,37.2660487510484,"MP"
"CHEBON",24.3243243243243,19.8769134335775,96.875,47.0254125859673,"MP"
"CHEFOL",10.5263157894737,18.5269305007972,100,43.0177487634236,"MP"
"CICINT",14.2208774583964,12.9383080727321,93.0232558139535,40.060813781694,"MP"
"CRAMAR",25.3393665158371,18.11135508089,92.3076923076923,45.2528046348065,"MP"
"DAUCAR",20.4339963833635,14.5686834436143,93.0232558139535,42.6753118803104,"MP"
"HUMLUP",13.1578947368421,14.556547580695,95.1219512195122,40.9454645123498,"MP"
"LATTUB",14.4927536231884,11.4459303283681,92.1052631578947,39.3479823698171,"MP"
"LEVOFF",9.75609756097561,16.0676790245598,94.2857142857143,40.0364969570832,"MP"
"MENSPI",7.60095011876485,14.8392391717681,97.6744186046512,40.038202631728,"MP"
"MENSUA",9.23482849604222,12.6054020653821,95,38.9467435204748,"MP"
"MYRODO",10.8187134502924,17.3540576285184,88.8888888888889,39.0205533225666,"MP"
"NASOFF",13.2029339853301,14.1071812839165,95.2380952380952,40.8494035024473,"MP"
"ORIVUL",18.6893203883495,16.0608488203342,91.1111111111111,41.9537601065983,"MP"
"PASSAT",9.55259975816203,14.3066277335298,95.4545454545455,39.7712576487458,"MP"
"PEUOST",16.8965517241379,19.3729923145836,94.7368421052632,43.6687953813282,"MP"
"RUMACE",12.5842696629213,16.618648274317,82.8571428571429,37.3533535981271,"MP"
"RUMOBT",17.1597633136095,15.4585223915103,93.3333333333333,41.9838730128177,"MP"
"RUMPAT",11.5702479338843,14.1830334370438,97.6190476190476,41.1241096633252,"MP"
"RUMSCU",33.2225913621262,15.3032109419477,95.2380952380952,47.921299180723,"MP"
"SANMIN",15.7342657342657,14.44240250111,95,41.7255560784586,"MP"
"SANOFF",15.1603498542274,14.7741130082774,93.0232558139535,40.9859062254861,"MP"
