family,taxa,acronym,GBIF,Genesys,Georeferenced,inSvalbard,Norway,Sweden,Finland,Denmark,Russia,Main provenance
Poaceae,Dactylis glomerata L.,DACGLO,225,8930,7369,820,265,102,82,51,73,Poland (n=4706)
Poaceae,Festuca pratensis Huds.,FESPRA,505,2039,1552,656,167,107,18,6,24,Germany (n=445)
Poaceae,Festuca rubra L.,FESRUB,289,1145,921,531,151,104,59,75,3,Norway (n=151)
Poaceae,Phleum pratense L.,PHLPRA,681,1557,1214,980,248,160,104,17,5,Germany (n=517)
Poaceae,Poa palustris L.,POAPAL,301,71,31,14,4,2,2,1,2,Poland (n=20)
Poaceae,Poa pratensis L.,POAPRA,526,1464,1090,514,172,80,28,65,25,Germany (n=291)
Leguminosae,Trifolium hybridum L.,TRIHYB,763,198,121,30,18,20,21,1,0,Czechia (n=23)
Leguminosae,Trifolium pratense L.,TRIPRA,909,1661,1119,204,124,129,63,6,5,Sweden (n=129)
Leguminosae,Trifolium repens L.,TRIREP,421,1932,1506,126,70,88,37,31,1,Italy (n=232)
Grossulariaceae,Ribes nigrum L.,RIBNIG,367,1,1,0,0,1,0,0,0,Sweden (n=1)
Grossulariaceae,Ribes petraeum Wulfen,RIBPET,228,4,1,0,0,0,0,0,0,Georgia (n=3)
Grossulariaceae,Ribes spicatum Robson,RIBSPI,659,3,2,0,0,1,0,0,0,Poland (n=2)
Amaryllidaceae,Allium scorodoprasum L.,ALLSCO,309,8,2,0,1,0,0,0,1,Bulgaria (n=4)
Amaranthaceae,Beta vulgaris L.,BETVUL,352,828,584,123,0,5,0,44,2,Italy (n=240)
Brassicaceae,Brassica napus L.,BRANAP,881,22,11,16,0,0,0,0,2,Poland (n=5)
Brassicaceae,Brassica rapa L.,BRARAP,232,26,15,8,0,1,1,5,1,Italy (n=12)
Apiaceae,Carum carvi L.,CARCAR,354,293,85,55,61,7,20,4,16,Germany (n=67)
Cannabaceae,Humulus lupulus L.,HUMLUP,279,33,21,0,0,0,0,5,0,Croatia (n=13)
Poaceae,Alopecurus pratensis L.,ALOPRA,275,293,210,116,54,32,33,0,3,Norway (n=54)
Poaceae,Bromus inermis Leyss.,BROINE,191,112,83,27,19,10,0,0,16,Hungary (n=44)
Poaceae,Phalaris arundinacea L.,PHAARU,815,264,230,114,61,13,84,6,9,Finland (n=84)
Apiaceae,Angelica archangelica L.,ANGARC,319,58,45,12,1,1,12,2,0,Croatia (n=28)
Lamiaceae,Origanum vulgare L.,ORIVUL,320,308,231,14,0,3,4,5,0,Albania (n=131)
Polygonaceae,Rumex acetosa L.,RUMACE,889,27,24,0,0,0,0,0,0,Croatia (n=13)
