family,taxa,acronym,GBIF,Genesys,Georeferenced,inSvalbard,Norway,Sweden,Finland,Denmark,Russia,Main provenance
Poaceae,Dactylis glomerata L.,DACGLO,225,8930,7369,715,199,72,45,11,3,Poland (n=4552)
Poaceae,Festuca pratensis Huds.,FESPRA,505,2039,1552,584,152,105,13,0,0,Germany (n=435)
Poaceae,Festuca rubra L.,FESRUB,289,1145,921,474,122,104,52,56,0,Norway (n=122)
Poaceae,Phleum pratense L.,PHLPRA,681,1557,1214,920,211,159,56,7,0,Germany (n=502)
Poaceae,Poa palustris L.,POAPAL,301,71,31,12,0,2,0,0,0,Poland (n=14)
Poaceae,Poa pratensis L.,POAPRA,526,1464,1090,466,130,78,19,57,0,Germany (n=283)
Leguminosae,Trifolium hybridum L.,TRIHYB,763,198,121,29,13,20,6,1,0,Sweden (n=20)
Leguminosae,Trifolium pratense L.,TRIPRA,909,1661,1119,168,88,128,23,3,0,Sweden (n=128)
Leguminosae,Trifolium repens L.,TRIREP,421,1932,1506,110,52,88,13,13,0,Spain (n=222)
Grossulariaceae,Ribes nigrum L.,RIBNIG,367,1,1,0,0,1,0,0,0,Sweden (n=1)
Grossulariaceae,Ribes petraeum Wulfen,RIBPET,228,4,1,0,0,0,0,0,0,Georgia (n=1)
Grossulariaceae,Ribes spicatum Robson,RIBSPI,659,3,2,0,0,0,0,0,0,Poland (n=2)
Amaryllidaceae,Allium scorodoprasum L.,ALLSCO,309,8,2,0,1,0,0,0,1,Norway (n=1)
Amaranthaceae,Beta vulgaris L.,BETVUL,352,828,584,107,0,5,0,38,2,France (n=132)
Brassicaceae,Brassica napus L.,BRANAP,881,22,11,8,0,0,0,0,1,Ukraine (n=4)
Brassicaceae,Brassica rapa L.,BRARAP,232,26,15,5,0,1,0,1,0,Italy (n=7)
Apiaceae,Carum carvi L.,CARCAR,354,293,85,54,51,1,3,0,0,Norway (n=51)
Cannabaceae,Humulus lupulus L.,HUMLUP,279,33,21,0,0,0,0,1,0,Croatia (n=13)
Poaceae,Alopecurus pratensis L.,ALOPRA,275,293,210,103,35,32,25,0,0,Hungary (n=40)
Poaceae,Bromus inermis Leyss.,BROINE,191,112,83,24,16,10,0,0,0,Hungary (n=44)
Poaceae,Phalaris arundinacea L.,PHAARU,815,264,230,111,60,11,82,0,0,Finland (n=82)
Apiaceae,Angelica archangelica L.,ANGARC,319,58,45,10,0,0,12,0,0,Croatia (n=28)
Lamiaceae,Origanum vulgare L.,ORIVUL,320,308,231,13,0,3,4,4,0,Albania (n=131)
Polygonaceae,Rumex acetosa L.,RUMACE,889,27,24,0,0,0,0,0,0,Croatia (n=13)
